COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
62000 , Managerial Economics,Danish , 5 ECTS , 2016/2017 ,F3A (Tues 8-12),BEng,DTU Diplom,"
The students must demonstrate the ability to use the economic
theory to analyze concrete situational aspects of corporate
decision making, and give one or more suggestions for potential
solutions in this matter. The student should also be able to choose
and apply specific models which fit best to a given solution and
give reasons for this choice of model and why it is especially
applicable 
","Have the ability to use and apply course specific
terminology Be able to account for and distinguish between purpose and the
actual application of models in relation to corporate economic
decision making Apply course specific methods to describe and analyze a
concrete problem statement and recommend one or more suggestions
for a solution Understand, apply, and calculate Costing Theory, Theory of
Demand, and Pricing Explain the registration systems of a company, including
bookkeeping, closing of the accounts and periodizing Understand, illustrate, and explain the content of a Profit and
Loss account and Balance Sheet Understand, apply, and calculate key figures when analysing a
company's annual report Describe, and apply different models for budgets and be able to
distinguish between possibilities of application Understand and explain how a company can make use of management
tools for activity management, capacity management and treasury
management Describe potential sources of finance for small and medium
sized companies and entrepreneurs","
What an Organization is (Types of companies, targets)

A company's Income Statement (Profit and Loss, and Balance)

Financial Analysis

Different forms of competition

Cost Theory

Economic characteristics and control tasks in different types of
companies

Price optimization

Activity Management

Capacity Management

Treasury Management

Budgets 
",None,"
Charlotte Flyger"
,,,,,,,,,,,,
62001 , Entrepreneurship,English , 5 ECTS , 2016/2017 ,E4A (Tues 13-17)  or  F4A (Tues 13-17),BEng,DTU Diplom,"
That the students develop an entrepreneurial mindset, understand
and are able to apply entrepreneurial methods and acquire knowledge
of different processes involved in launching a venture.

The course aims to develop the student's ability to
individually, and particularly in cooperation with others, to work
systematically to develop ideas into opportunities, through testing
and prototyping. This also requires being able to balance technical
aspects with market aspects and to structure the process from idea
to concept. 
","Demonstrate an ability to begin the realization of an
opportunity, through binding collaborations with stakeholders
outside the university. Identify and name entrepreneurial methods and processes
involved in creating an idea and turning it into an
opportunity. Argument upon actions and choices taken toward testing the idea
on potential customers. Reflect upon the development process of challenging assumptions
and beliefs. Synthesize an opportunity into a business plan. Describe and argue for choice of business model in relation to
the qualified opportunity. Describe and argue for choice of market in relation to the
qualified opportunity. Describe and argue for choice of product or concept in relation
to the qualified opportunity.","
Write an action oriented business plan, effectual entrepreneurship,
lean startup, customer development, the business model canvas;
customers, environment and process. 
",None,"
Sara Grex"
,,,,,,,,,,,,
62004 , Creativity and Innovation,Danish , 5 ECTS , 2016/2017 ,E2A (Mon 13-17),BEng,DTU Diplom,"
The course is a basic introduction to the process of innovation in
theory and practice based on the student's reality, society and
PI engineer's future professional reality. 
","Explain the different types of innovation and concepts in a
historical perspective Explain the concept of culture and culture for innovation and
change processes in a company Explain and illustrate the basic innovation models Explain the concept of creativity from a personal and
collective perspective Demonstrates understanding of the basic dynamics and nessecery
frameworks in innovation, and the motivational factors that enable
collaborative creative processes Use basic approaches to innovation in own practice Involve users and other stakeholders in the innovation
process Involve users and other stakeholders in the innovation
process Applying knowledge about innovation and change-processes for
effective management of value-creating change- and innovation
processes From a problem-oriented approach design, organize and
facilitate an innovation process through the use of appropriate
methods and tools, select the documentation form, document the
results and communicating the results Communicate innovation and change processes in theory and
practice Reflect on the relationship between theories, concepts, models
and methods, and the actual output of a process of innovation or
change","
The concept of innovation, processes of innovation and change,
process facilitation, Different kinds of innovation, Creativity,
the creative process, an innovative culture, value creation. 
",None,"
Villads Keiding"
,,,,,,,,,,,,
62005 , Object,Danish , 5 ECTS , 2016/2017 ,E4A (Tues 13-17),BEng,DTU Diplom,"
The participants should obtain a general understanding of analysis,
design and implementation in software development. Furthermore,
they must learn the primary object-oriented concepts through work
with basic programming in an object-oriented programming language
(Java). 
","Analyze and design a small software system with OOAD
methods. Describe wanted functionality as use cases based on both
functional and non-functional requirements. Write simple programs in an object-oriented programming
language (Java) and master the syntax of this language. Understand all important object-oriented concepts and use them
in the design phase. Use UML diagrams, eg. class diagrams, in analysis, design and
documentation of software systems. Apply relevant design patterns when designing and implementing
software systems. Plan and execute appropriate and sufficient tests of the
software developed. Document the development process in writing, including the
choices made and the results of the testing.","
Introduction to programming in an Integrated Development
Environment (IDE) and basic object oriented techniques:

Object oriented analysis and design (OOAD),

Object oriented programming (OOP) in Java, and

Unified Modeling Language (UML). 
",,"
Sara Grex"
,,,,,,,,,,,,
62008 , Product development ,Danish , 5 ECTS , 2016/2017 ,F2A (Mon 13-17),BEng,DTU Diplom,"
In this course the word product development, describes physical,
virtual, interaction or service-based creations.

It’s the objective with the course that the student obtains
knowledge of the product development process and its sub processes.

The student should also gain an understanding of the importance and
relevance of each sub processes, their location and impact on the
overall product development process.

The student should also understand the link between the different
disciplines involved in the product development process, so that
the student can work as a Project manager within the field of
product development. 
","Have knowledge of different product development processes. Be able to list the main phases in product development. Have the ability to identify and describe a certain product
opportunity. Be aware of the importance of intellectual property rights, and
be capable of describing them in briefs. Be aware of the importance of intellectual property rights, and
be capable of describing them in briefs. Can set a team regarding relevant professions in a specific
product development process. Can prepare and write a Product Specification, with regard to
sustainability and environmental impact Can estimate the overall time schedule for a product
development process. Can make the overall planning of the process, based on a
specification. Can make Patent screenings.","
Product development processes and sub processes. Theoretical and
practical workshop classes 
",62009,"
Steen Mandsfelt Eriksen"
