COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
42002 , Modelling and Analysis of Sustainable Energy Systems using Operations Research,English , 5 ECTS , 2016/2017 ,E4B (Fri 8-12),MSc,DTU Management Engineering,"
The objective of this course is to introduce the students to the
fundamentals of energy system modelling. With focus on a
sustainable energy system, we consider various energy technologies;
with particular emphasis on renewable energy sources, such as wind
turbines. We aim to formulate simple models of power systems with
renewable energy sources. We aspire to analyse the operation and
design of the system in terms of sustainability, reliability and
economic efficiency. To address such challenges, an important part
of the course is devoted to theory and practice of modelling,
optimisation and simulation. The idea is that the students will
learn to carry out the whole process of identifying a problem,
formulating a model, preparing data, implementing the model and
analysing the results on their own (this will partly be achieved by
working in groups on a project which focuses on a specific design
issue at the end of the course). 
","List the technical challenges involved in reliable and
economically efficient operation and design of a sustainable energy
system. The degree of detail should be comparable to that of a
public seminar for industry Formulate a mathematical programming problem; identify
objectives, constraints, variables and parameters; characterise
feasibility, optimality and unboundedness; formulate and interpret
the dual problem, formulate an integer program Formulate economic dispatch and unit commitment of power
producing units, electricity storage operation and integration of
renewable energy in the mathematical programming framework Formulate a linear/an integer programming model for a specific
problem within energy system operation and investment, given a
qualitative description of the problem Implement a mathematical programming model in GAMS, given a
mathematical formulation of the problem Collect, prepare and format input data, e.g. time series data
for production and consumption, for the models of this course Verify the models and carry out model runs to such an extent
that the results can be used to analyse a given problem Analyse and present the model results. The level should be such
that both results and implications are readily understandable by
the other students in the course","
The course provides an overview of a sustainable energy system with
a view towards the challenges involved in operation and design
within short and long term planning, i.e. time scales of hours to
days. To address such challenges mathematical programming models
are used in energy. The basics of optimization by mathematical
programming, the application to energy system modelling, and
software implementation are introduced during the course. 
",01005,"
Ida Græsted Jensen,
Niels Framroze Møller"
,,,,,,,,,,,,
42003 ," Energy Economics, Markets and Policies",English , 10 ECTS , 2016/2017 ,"E2 (Mon 13-17, Thurs 8-12)",MSc,DTU Management Engineering,"
With the point of departure in economic theory the purpose is to
provide the students with a fundamental understanding of the
current situation and the dynamic challenges that lie ahead for the
energy sector both nationally and internationally. This includes an
understanding of energy economics, energy markets, politics,
regulation and resources. The theoretical basis of the course is
the economic theories relevant for those topics. Furthermore, the
students are expected to relate these elements to the term
sustainability. The environmental policy instruments will be
compared in relation to different policy objectives and
institutional settings in the energy sector. The students are
expected to develop competences in interpreting, explaining and
discussing the challenges of the energy sector, policy and
regulation from an economic perspective. 
","Explain and apply basic concepts of economic theory such as
profit maximisation, demand and supply Describe a country’s energy structure and apply relevant
indicators to compare it with other countries Identify the interaction between limited resources and
continuous economic growth Identify and explain the dynamic interactions between energy
markets, as well as describe the importance of institutional and
organisational relationships for the effectiveness of energy
markets Analyse power markets based on load duration curves, screening
curves and cost recovery of power plants Describe the relation between investments and generation
capacity, as well as the effects produced by capacity remunerations
models such as capacity markets. Describe different environmental valuation methods and compare
their applicability for energy projects Describe the link between energy economics and environmental
economics and how they can be used to understand economic aspects
and challenges in a sustainable energy system Analyse effects and interactions between different regulation
methods, such as taxes and tradable quotas (pros and cons of
different regulation methods under different assumptions) Analyse and compare consequences for renewable energy
technologies of different support schemes and other forms of direct
regulation Describe regulatory and policy choices, e.g. with regard to
energy savings measures or environmental policy, and assess their
consequences Present and discuss an academic paper or article within the
abovementioned fields","
This course takes the approach of microeconomics to analyse the
energy sector, how energy markets behave and the necessary
regulation of markets.

The course provides a general introduction to the energy sector
both at the national and at the international level. The main focus
will be on different types of energy markets (electricity, oil,
gas, emissions, etc.). This encompasses market design, market
interactions as well as potential market imperfections. These
subjects will be analysed and discussed under consideration of
externalities, environmental taxes, quantitative regulation and
market power. We discuss policy measures to address these aspects
under different conditions.

The teaching is partially based on an introductory textbook in
environmental economics. Further, book chapters as well as
scientific papers and articles dealing with the respective subject
will be introduced and discussed. 
",01005,"
Pablo Alejandro Hevia Koch,
Lise-Lotte Pade,
Henrik Klinge Jacobsen"
,,,,,,,,,,,,
42004 , Feasibility studies of energy projects,English , 5 ECTS , 2016/2017 ,E3A (Tues 8-12),MSc,DTU Management Engineering,"
Students learn to assess the feasibility of energy projects from
both a societal and a business perspective taking into account
economic, environmental, regulatory and financing issues. 
","Describe the contents and steps of a feasibility study of an
energy project including its economic, environmental, regulatory
and financial elements Explain the difference between a socio-economic and
business-economic feasibility study Apply project evaluation methods to calculate key economic and
financial indicators such as net present value, internal rate of
return, payback time, and debt service coverage ratio of a concrete
energy project Determine the environmental and regulatory feasibility of a
concrete energy project Search for and critically apply data from different
sources Assess the uncertainty and risks related to obtained
feasibility and bankability results by creating appropriate
scenarios and sensitivity analyses Formulate specific recommendations for decision makers based on
results from a feasibility study Reflect on advantages and limitations that a partial and more
or less isolated analysis of a single project has as compared to a
more comprehensive energy system analysis","
We introduce the concepts of basic economic valuation, investment
analysis, levelised costs of energy, assessment of environmental
impacts, sensitivity and risk analysis, and financing of projects.
In lectures, exercises and group work the students gradually learn
how to create project valuation models and perform feasibility
studies. Throughout the course, students work on a real life case
from the energy industry, for which they elaborate a comprehensive
feasibility report. The course shall prepare students towards the
end of their Master studies to navigate in a professional work
environment that demands skills in both engineering and economics,
e.g. as in project management. 
","42003,28870","
Lena Kitzing"
,,,,,,,,,,,,
42005 , Micro and macroeconomics,Danish , 5 ECTS , 2016/2017 ,E5A (Wed 8-12),BSc,DTU Management Engineering,"
The overall objective of the course is to give the student a basic
insight to national economics. The students will gain an
understanding of socio economic challenges and skills in using
economic theory to argue for solutions for socio economic
challenges.

Microeconomic theory covering the behaviour of the households and
the firms is presented and the basic assumptions are discussed. The
students gain an understanding of macroeconomic balances and how
balances occur in a closed as well as a small open economy in the
long term. Further, the students gain insight into the differences
between the effects of finance policy in the long term and short
term respectively. 
","Explain the behaviour of the consumers and firms Present and solve the problem of the consumers (utility
maximisation) Present and solve the problem of the firms (profit
maximisation) Evaluate the welfare consequences of different market
designs Evaluate the welfare consequences of market initiatives Apply models for welfare analysis Explain the links between the demand components and GDP Describe a macroeconomic model for a closed economy and perform
causal analysis of models Describe a macroeconomic model for a small open economy Evaluate economic policy tools in the long term Describe and explain what causes unemployment and categorise
it Illustrate and explain the difference between short term and
long term effects of finance policy","
The microeconomic part of the course introduces central
microeconomic concepts and gives a general and simple introduction
to the basic microeconomic theory. We present a range of
fundamental economic principles important for economic decision
making and understanding of how the economy works. This part of the
course is dealing with firms and households. Important topics are
consumption theory, theory of the firm and efficiency.

Within the macroeconomic part of the course macroeconomic models
for a closed economy as well as a small open economy is introduced.
We explain how balances in the long term occur in the closed and
the small open economy respectively and reasons for unemployment
are introduced. Finally, the difference between short term and long
term equilibrium is explained including the effect of finance
policy. 
","42415,02403","
Lise-Lotte Pade,
Ismir Mulalic"
,,,,,,,,,,,,
42006 , National energy system modelling with TIMES,English , 5 ECTS , 2016/2017 ,January,MSc,DTU Management Engineering,"
The main purpose of the course is for the students to learn how to
build a national energy system model and carry out relevant
analyses. 
","Collect and evaluate data critically e.g. by comparing
production costs of technologies Develop and analyse internally consistent future energy
scenarios Critically reflect on a tool functionalities as well as main
assumptions and limitations of that type of tool in general and
specifically for the applied tool Validate and explain results Use TIMES model generator for creating a national energy system
model and describe its structure Analyse national energy system scenarios applying a TIMES
model Apply constraints in TIMES to represent e.g., limited renewable
resource potentials Represent energy demand, transmission, conversion and resource
potentials for different sectors of an existing energy system in
TIMES Explain the modelling of specific technologies in a TIMES
energy system model and compare the system consequences of
implementing them Clarify sensitivities of main assumptions through sensitivity
analysis Synthesise the main conclusions and discuss results in relation
to results of other energy system analyses and current debate in
society Coordinate model development","
We introduce the concepts of national energy system modelling and
analysis as well as scenario building. In lectures, exercises and
group work the students gradually learn how to create national
energy system models with the TIMES model generator. Throughout the
course, students work on modelling existing energy systems of
different countries and analyse potential future scenarios. The
course shall prepare students to work with national energy system
modelling in an international environment, as the TIMES model
generator is applied for energy modelling worldwide e.g. by the
IEA. 
","42004,42003,42002","
Marie Münster,
Olexandr Balyk,
Kenneth Bernard Karlsson"
