COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
46000 , Introduction to Wind Energy,Danish , 5 ECTS , 2016/2017 ,F3A (Tues 8-12),BSc,DTU Wind Energy,"
To establish a basic and rational understanding of wind energy and
to introduce the primary scientific disciplines appied in wind
energy. Further to carry out calculations using simple models. 
","account for the role of wind energy in the Danish energy
supply perform simple calculations of Cost of Energy for wind
energy apply basic engineering models for wind speed, its distribution
in time and space and determine the annual energy production for a
wind turbine at a given location analyse measured data for a wind field and determine the mean
wind speed and turbulence properties account for the configuration of a wind turbine and the
background for the modern three-bladed wind turbine carry out calculations of thrust and power for a wind
turbine determine drag and lift for a segment on the blade apply simple beam formulae for calculation of sectional forces
and natural frequency describe and calculate the stiffness properties of composite
materials applied in wind turbine blades account for the main generator types and carry out simple
calculations for their operation describe the difference between AC and DC power and the
mechanical-electrical coupling of rotor and grid","
Cost of Energy, role of the electricity stock, economical
feasibility versus political goodwill. Statistical distribution of
mean wind speed, the atmospheric boundary layer and velocity
profile, turbulence and the terrains influence on the local wind
conditions, annual production. Methods for wind measurement. The
evolution of wind turbine technology, the components of a wind
turbine. 1D momentum theory for flow through the rotor, maximum
energy yield, thrust and power coefficient, the velocity triangle
for a wind turbine blade, the principle behind the BEM method.
Simple beam-formulae for the tower motion, natural frequency and
structural resonance, sectional forces and moments in blades and
tower. Galileis square-cube law for stresses, design/choice of
composite materials, principles for application of electron
microscopy for characterization of metals and composite materials.
Generator types and their working principle, the
mechanical-electrical coupling between rotor and grid,
transmission, the balancing problem on the grid. Introduction to
advanced courses and research in wind energy. 
","41312,41102,01005,41501,41065","
Henrik Bredmose,
Jens Nørkær Sørensen"
46010 , Wind Turbine Racer,Danish , 10 ECTS , 2016/2017 ,F2A (Mon 13-17) and June,BSc,DTU Wind Energy,"
To introduce students to conversion of wind energy, specifically in
relation fastest possible speed of a wind driven car. To let the
students apply learned theory into practice in solving a design
task leading to construction / improvement of a wind car. The final
goal is to participate in an international wind car race with the
aim to drive as fast as possible in direct headwind. 
","Work in teams and coordinate across multiple teams Analyze the aero-mechanics of a wind car based on basic
physical principles and laws Evaluate uncertainty for the car performance Find the areas where you will have the greatest potential to
improve the car's speed Use engnieering measuring methods Apply engineering design for functional solutions Choosing construction methods in relation to material and
functionality Write a technical report","
Today wind energy conversion takes place mainly on large scale
using MW wind turbines, but the engineering physics and the
aerodynamic principles are largely the same as for very small mills
such as the turbine on the wind car. The idea is to build a wind
powered car to drive as fast as possible in direct headwind.
Previously built wind cars must be reviewed and based on new ideas
/ concepts, construction of a new or part of a new wind car is
built. Identified core issues for the car's structure are
selected based on analysis of wind car aeromechanics and are solved
in groups for each selected area (car aerodynamics, wings, shroud,
hub mechanics, transmission, control, instrumentation, electrical
system, etc.). A key objective is the integration of the various
components into a functional wind car construction. The students
are introduced initially to the aero mechanics of the car, wind
energy conversion and disciplines related to design and
construction for building a wind turbine car for example, machinery
elements , fiber composite , experimental testing , etc. 
",,"
Robert Flemming Mikkelsen,
Mac Gaunaa"
46100 , Introduction to Micrometeorology for Wind Energy,English , 5 ECTS , 2016/2017 ,E2B (Thurs 8-12),MSc,DTU Wind Energy,"
To give a general understanding of atmospheric turbulence and wind
resources. 
","Apply simple statistical concepts in the description of time
series of the wind, e.g. the mean, moments and probability density
functions Analyze meteorological time series using more advanced
statistical tools such as the correlation function, spectra and
cross-spectra Explain the basic mechanisms responsible for winds in the
atmosphere Explain the concept of the atmospheric boundary layer and how
it is affected by atmospheric stability and the Coriolis force Use micrometeorological concepts such as roughness length,
momentum flux and the geostrophic drag law Qualitatively explain how various types of terrain and the
topography affect the atmospheric flow Apply the above-mentioned concepts to estimate the wind energy
resource in a simple terrain Describe atmospheric turbulence by means of variances, spectra
and coherences, and explain the connection to dynamic loads on
structures Characterize a few in situ and remote sensors of wind Explain some possibilities and limitations of using wind
tunnels to model the flow around turbines Explain wind-related aspects of the IEC 61400-1 standard for
wind turbine safety","
Introduction to atmosphere physics. The atmospheric boundary layer:
stability, roughness and topography, mean and extreme wind
statistics. Turbulence and gusts: spectra, coherence and
probability density functions. Anemometry of wind fields.
Structural loads. Wind resources. Numerical programming tools will
be used for exercises, e.g. Mathematica or MatLab. 
","02631,02633","
Jacob Berg,
Mark C. Kelly"
46110 , Basic Aerodynamics,English , 5 ECTS , 2016/2017 ,F4A (Tues 13-17),MSc,DTU Wind Energy,"
To give the theoretical background for formulation and solution of
aerodynamic flow problems, including designing a drone, and be able
to calculate and design airfoils and plan forms for fixed wing and
propeller powered aircrafts. 
","Make a conceptual design of a drone Describe the basic concepts of lift, drag and vorticity Describe the basics of potential flow theory Use conformal mapping to calculate flows past two-dimensional
bodies Use a panel code for airfoils Explain the basics of airfoils and airfoil theory Derive the Kutta-Joukowsky theorem Implement the lifting line method on finite wings in a MatLab
script Implement thin airfoil theory in a MatLab script Apply momentum theory on rotors Document a technical calculation in writing in a short and
precise form Present orally a complex problem in a poster","
Design of airfoils and wings, including the conceptual design of a
drone. Introduction to the fundamental priciples and equations in
aerodynamics. Incompressible airfoil theory. Potential flow -
conformal mapping. the Kutta-Joukowsky theorem. Two-dimensional
panel methods. Incompressible flow over finite wings. Lifting
line/lifting surface models. Fundamentals of rotor aerodynamics. 
","41312,41102,02633,41065","
Jens Nørkær Sørensen,
Martin Otto Laver Hansen"
46200 , Planning and Development of Wind Farms,English , 5 ECTS , 2016/2017 ,January,MSc,DTU Wind Energy,"
The student is provided with an overview of the steps in planning
and managing the development of a new wind farm. The student is
introduced to wind resource assessment and siting, wind farm
economics and support mechanisms for wind energy. An overview of
the various environmental impacts from wind farms is offered. 
","Describe the methodologies of wind resource assessment and
their advantages and limitations Explain the steps in the selection of a site for measurement of
the wind resource and good practice for measurement of the wind
resource Calculate the annual energy production using the WAsP software
for simple wind farm cases in terrain within the operational
envelope of the WAsP model Identify and describe factors adding to the uncertainty of the
wind resource and wind farm production estimates Estimate the most important key financial numbers of a wind
project and explain their relevance Identify the main environmental impacts from a wind farm and
suggest mitigation measures List the three most common policy tools for support of wind
energy projects Explain the steps in the development of a wind farm layout
considering annual energy production, wind turbine loads and
environmental impact Explain the main steps in developing the grid connection of a
wind farm","
An introduction to market, policy and support mechanisms relevant
to wind energy. Wind resources and wind conditions: anemometry;
design and siting of meteorological stations; wind distributions;
observed, generalised and predicted wind climates; observational
and numerical wind atlases, elevation maps and land cover,
roughness classes and roughness maps; sheltering obstacles; wind
farm wake effects, micro-scale flow modelling (WAsP), wind resource
mapping; wind farm layout; wind farm annual energy production.

The procedure for obtaining an environmental permit for a wind
farm. The various types of environmental impacts from a wind farm.
Introduction to wind farm economics. Introduction to grid
connection. The students will work in groups of 3 or 4. The group
work will be documented in a report and will be presented orally by
all course participants. 
","46300,02633","
Niels-Erik Clausen,
Niels Gylling Mortensen,
Tom Cronin"
46211 , Offshore Wind Energy,English , 10 ECTS , 2016/2017 ,"E4 (Tues 13-17, Fri 8-12)",MSc,DTU Wind Energy,"
To be able to calculate hydrodynamic and aerodynamic loads specific
for offshore wind turbines. 
","Describe the typical foundation types for bottom-fixed offshore
wind turbines and summarize the content of the IEC 61400-3 design
norm Apply the elements of a design basis and use statistical data
to determine e.g. a 50-year sea state Calculate a force time series from linear irregular waves and
determine which forces that dominate Explain the basic dynamics of bottom fixed offshore wind
turbines, the method for fatigue calculations and perform a simple
substructure design Apply 1D momentum theory for analysis of wind turbine
wakes Implement closed-form wake models in Matlab Analyse the production and loads in rows of wind turbines with
application of closed-form wake models and determine the optimal
spacing between the wind turbines Describe the basic process in planning an offshore wind farm
and the interaction between the involved parties Understand and suggest simple strategies for operation and
maintenance Derive the equations of motion for typical floating wind
turbine configurations Implement time domain models for the dynamics of floating wind
turbines subject to wind and wave forcing Analyse the dynamic stability of floating wind turbines and
propose modifications of the control system to improve
stability","
Design codes for bottom fixed offshore wind turbines. Design basis
for wind and wave climate. Extreme value prediction by fitted
distributions.

Substructure types for offshore wind turbines. Design of a
substructure.

Hydrodynamic loads from linear irregular waves. Wave kinematics and
the Morison equation. Wheeler stretching and the MacCamy Fuchs
diffraction theory. Simplified aerodynamic load model.

The 1P and 3P dynamic criteria and basic technique for fatigue
calculation.

Wake aerodynamics and vortex structures behind a wind turbine
rotor. 1D momentum theory for wakes. Wake interaction in wind farms
and between wind farms. Methods for computation of wakes in wind
farms.

Introduction to planning and environmental decisions for offshore
wind farms. Introduction to operation and maintenance management
for offshore wind farms.

Basic concepts for floating wind turbines and calculation of
mooring forces. Linearised equations of motion for floating wind
turbines. Dynamic stability and control of floating wind turbines. 
","46300,41101,41106,41312,02601,02631,02633","
Henrik Bredmose,
Jens Nørkær Sørensen"
46230 , Power system balancing with large scale wind power,English , 5 ECTS , 2016/2017 ,F4B (Fri 8-12),MSc,DTU Wind Energy,"
To give the students an understanding of the basic principles of
mathematical modeling of an energy system. With a non-electrical
perspective, the course introduces the students to the modeling and
control of the balance between generation and consumption of a
power system with many wind turbines. The students will learn and
be technically challenged understanding how wind turbines can
influence and contribute to the power balance of the power system.
To address these challenges, an important part of the course is
devoted to theory and practice of modeling and computer
simulations. The students are expected to develop competences in
formulating simple mathematical models, preparing data,
implementing, explaining the models and analyzing the results (this
will partly be achieved by working in groups during the computer
exercises). 
","Explain and apply the basic concepts of power balance control
in power systems Describe the simple dynamic models of generators, loads,
governors as well as wind turbines Explain the basic concepts of different types of wind
turbines Develop and implement dynamic models in Simulink. Implement simple dynamic simulation models for power balance
control with different wind turbines concepts in Simulink. Asses the models under different assumptions such as various
load and wind scenarios in the power system. Analyze, explain and present model results. Interpret/evaluate wind turbines contribution to the frequency
control in the power system","
• General introduction to power balance/frequency control.

• Brief description of modelling representations.

• Introduction to Matlab and dynamic modelling in Simulink.

• Dynamic modeling of a power system, with simple models for
generators, loads and governors.

• Introduction to wind power modeling.

• Simple dynamic modeling and control of fixed and variable speed
wind turbines.

The main focus in the course is on the dynamic modeling of the
power balance/frequency control in an island power system with many
wind turbines. 
","10024,01005,02631,10020,02633","
Anca Daniela Hansen,
Müfit Altin,
Kaushik Das"
46300 , Wind Turbine Technology and Aerodynamics,English , 10 ECTS , 2016/2017 ,"E1 (Mon 8-12, Thurs 13-17)",MSc,DTU Wind Energy,"
To give a general introduction to the aerodynamics and elastic
behaviour of a modern wind turbine. Further, the placement of wind
turbines with respect to fatigue, annual power production and noise
will be addressed. Also, the elastic interaction of the blades with
the flow around the blades is introduced.

Furthermore, the students will be introduced to basics of
generators, transformers and power converters relevant to wind
turbines.

Historical, economical as well as political issues related to wind
energy will be part of the course emphasising the technical concept
and the conditions for innovation. This involves aspects related to
costs and trading of electricity produced by wind turbines. 
","Define airfoil data Define induced velocities Develop a computer code to calculate aerodynamic loads Calculate internal loads and the deformation of a loaded wind
turbine blade Compute the eigenmodes and associated eigenfrequencies for a
wind turbine blade Draw velocity triangle incl. induced velocities Determine annual energy production for a wind turbine Carry out calculations on electromagnetic components and
explain their purpose and functionality Distinguish between different types of generators and explain
how they work Carry out calculations on the different drive-train typologies
used in wind turbines Analyses of historical development of wind turbines, wind
industry structure, and the challenges for industrial
innovation. Calculate induced wind speed and loads for a vertical axis wind
turbine","
Placement: wind atlas, atmospheric boundary layer and turbulence,
influence of the terrain and annual wind distribution.
Aerodynamics: two-dimensional aerodynamics and three-dimensional
effects. Use of strip theory to determine the energy production for
a rotor with a given twist and chord distribution. Control of a
wind turbine (stall-, pitch-, and variabel speed control).
Structure: aerodynamic and inertial loads. Computation of the
fatigue loads. Grid connections or standalone application as wind
diesel or pumps.

Electrical conditions:

3 phase power system and concept of active and reactive power,
calculation of electromagnetic components. Generator typologies
including geared generators vs. direct drive generators, and
converter connection vs. direct grid connection.

Societal and industrial context, innovation and economics:

history of wind power and industrial structure, energy and
innovation policy context, innovation. 
","41312,02102,02631","
Martin Otto Laver Hansen,
Nenad Mijatovic"
46310 , Projects in Wind Turbine Aeroelasticity,English , 10 ECTS , 2016/2017 ,F5A (Wed 8-12) and F5B (Wed 13-17),MSc,DTU Wind Energy,"
To give a thorough insight to the structural modeling of a wind
turbine in order to calculate the aeroelastic response of the
construction including the time varying loads stemming from
atmospheric turbulence, wind shear, yaw, tower shadow as well as
gravity and inertial loads. 
","Write a computer code to determine the unsteady aerodynamic
loads Implement a dynamic wake model Solve equations for unsteady rotor aerodynamics Implement a yaw model Establish the equations of motion for a wind turbine
construction Integrate the equations of motion to obtain time history of
loads Explain the contribution of the different models on the
resulting time series and validate the code Verify that the structural and aerodynamic models are coupled
correctly Apply a beam model for wind turbine substructures such as
tower, shaft, and blade with a finite element method
(FEM)","
Structural modeling of wind turbine using finite element method,
3-D corrections to stationary airfoil data, implementation of
dynamic stall models, implementation of instationary BEM model,
modeling of atmospheric turbulence, wind shear, numerical time
integration of governing equations for motion of wind turbine,
computer simulation of the time varying behavior of a wind turbine,
modern control of wind turbine. 
","46300,28864,02637,02393,02633","
Martin Otto Laver Hansen,
Taeseong Kim"
46320 ," Loads, Aerodynamics and Control of Wind Turbines",English , 10 ECTS , 2016/2017 ,E5 (Wed 8-17),MSc,DTU Wind Energy,"
To give the students advanced competencies in modeling and
analyzing the structural dynamics, aerodynamics, aeroelastic
characteristics, and control of wind turbines using analytical and
numerical methods, and thereby create a basis for computing the
loads on wind turbines in a design process. 
","Set up a structural model of a wind turbine, and analyze its
structural dynamical properties Describe the mode shapes of wind turbines, and identify these
in computed time series of the aeroelastic response of a wind
turbine Describe the Blade Element Momentum theory to calculate the
aerodynamic forces on a wind turbine rotor, and describe its
limitations and the added submodels that are necessary for
calculation of realistic unsteady forces Apply methods for aerodynamic design of an optimal wind turbine
rotor, and discuss the practical limitations related to, e.g.,
structural stiffness, noise and manufacturing Describe the aeroelastic responses e.g. stability, resonance,
and their influence on loads Describe different concepts for regulating wind turbines Implement a simple wind turbine controller in an aeroelastic
simulation model Find the relevant standard for certification of a wind turbine,
and use this to compute a reduced load basis Apply methods for re-designing a turbine for changed
requirements Document and explain the designed wind turbine models,
analyses, and design choices","
The students design their own wind turbine, compute its design
loads, and thereby work with the following topics: methods for
analyzing the structural dynamics of wind turbines, Blade Element
Momentum (BEM) theory coupled with unsteady aerodynamics,
aeroelastic stability of wind turbines using eigenvalue analysis,
methods for aerodynamic design of wind turbine rotors, regulation
concepts for wind turbines, tuning of wind turbine controllers, the
certification standard for wind turbines, and calculation of a
reduced load basis for a wind turbine.

The theories, submodels, and methods introduced in this course will
generally be applicable for modeling and analysis of wind turbines;
however, the students will work with the multi-body code HAWC2 for
aeroelastic simulations, the tool HAWCStab2 for aero-servo-elastic
mondal analysis of wind turbines. Parts of this course will be
provided through E-learning. The E-learning lessons correspond to a
workload of approx. 10 hours. 
","46300,46310","
Taeseong Kim,
Morten Hartvig Hansen"
