COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
47301 , Hydrogen Energy and Fuel Cells,English , 5 ECTS , 2016/2017 ,F1B (Thurs 13-17),MSc,DTU,"
Fossil fuels are depleting. Carbon dioxide is accumulating in the
atmosphere. Global warming is accelerating at an increasing rate.
These ever growing concerns stimulate worldwide research activities
within technologies of high fuel efficiency, low air emissions, and
renewable energy for the 21st century. Hydrogen and fuel cells are
expected to play central roles in this context. The course presents
a comprehensive and up-to-date understanding of the hydrogen energy
and fuel cell technologies in order to provide (1) an introductory
overview to students that are new in the field, (2) a detailed
explanation and further understanding to those familiar with the
subject, and (3) a discussion platform for the newest innovations
and future improvements to those involved or to be involved in the
development. 
","Present the idea of applying hydrogen as an energy carrier Describe the mode of operation of a fuel cell as well as the
function of the individual components Understand and present the differences in function and
application of different types of fuel cells Explain the shape of a polarization curve and calculate ohmic
resistance and conversion efficiency on that background Present the most important techniques for production of
hydrogen Distinguish between different techniques for reforming Present the three most important types of electrolyzer
cells Assess advantages and limitations of different techniques for
hydrogen storage Discuss safety issues in connection with hydrogen Discuss the problems with implementation of the hydrogen
society and keep a critical attitude to popular descriptions of
hydrogen as an energy carrier","
Hydrogen as an energy carrier, fundamentals of fuel cells,
electrochemical principles, thermodynamics, ion conductors,
catalysts and electrodes, types of fuel cells (proton exchange
membrane fuel cell, alkaline fuel cell, phosphoric acid fuel cell,
molten carbonate fuel cell, solid oxide fuel cell), hydrogen
storage, metal hydrides, fuel processing, hydrogen production
(reforming and electrolysis), system integration, balance of plant,
applications. Optional lab tours will be arranged. 
",47302,"
Qingfeng Li,
Jens Oluf Jensen"
,,,,,,,,,,,,
47302 , Hydrogen and Fuel Cell Chemistry ,English , 5 ECTS , 2016/2017 ,January,MSc,DTU,"
To give practical experience in hydrogen energy systems. Selected
components from the whole hydrogen chain are addressed (hydrogen
production by methanol reforming and water electrolysis, advanced
hydrogen storage, conversion in PEM fuel cells). Moreover, a number
of relevant special laboratory techniques with wider applicability
are part of the course (e.g. spectroscopy and glove boxes). In this
way the course is meant to address a broader range of knowledge
from fundamental materials to hydrogen energy technologies. The
theoretical grounds for the techniques are established through a
series of short introductory lectures. 
","Prepare catalyst, membrane and electrodes for a PEM fuel
cell Assemble and test a PEM fuel cell Synthesize reforming catalyst and construct a methanol
reformer Test a PEM electrolyzer for water splitting Apply spectroscopy (IR and XRD) Construct laboratory furnaces and measure/control
temperature Apply different electrochemical techniques Integrate fuel cell with methanol reformer","
Preparation and characterization of platinum catalyst, ion
conducting membrane, electrodes and a PEM fuel cell. Preparation
and test of reformer catalyst and methanol reformer. Integration
and operation of fuel cells and reformer. Operation of
electrolyzer. Spectroscopic investigations (IR and XRD).
Construction of laboratory furnace, measurement of temperature,
electrochemical techniques (e.g. cyclic voltammetry and Tafel plot)
and glove box work. 
",None,"
Qingfeng Li,
Jens Oluf Jensen"
,,,,,,,,,,,,
47303 , Applied Inorganic Chemistry,English , 5 ECTS , 2016/2017 ,F2A (Mon 13-17),MSc,DTU,"
To extend the knowledge of the nature of inorganic chemical
materials with a view to practical applications. 
","Illustrate extraction and purification of metals Describe the production of ammonia, ammonium nitrate, urea and
other components of nitrogen-containing fertilizers Illustrate the production of sulphuric acid and products made
from sulphuric acid, such as gypsum and superphosphate Outline the development of chemicals on the basis of mineral
salts including chlorine and sodium hydroxide (chloralkali
electrolyses), soda and potassium salts for fertilizers Describe the production of construction materials including
lime, mortar cement, glass, ceramics and silicate products Describe the production and the mode of operation of electrical
energy sources, primary and secondary batteries, accumulators and
fuel cells including the catalysts used Describe the production of pure water including ion
exchanges Illustrate treatment of chemical waste Describe the production and the properties of semiconductors
for electronic equipment Explain the chemical technology behind solar cells, displays
and optical fibres","
Metal extraction and refining. Manufacture of artificial
fertilizers including ammonia, ammonium nitrate, urea, etc.
Manufacture of sulphuric acid for superphosphate production.
Manufacture of potassium salts, etc. Halogen and chloralkali
industries including production of sodium hydroxide and chlorine.
Construction materials including quicklime, cement and gypsum.
Primary and secondary energy sources; manufacture of electrical
batteries for various uses, accumulators and fuel cells; ceramics
and silicate products. Inorganic solid state chemistry, including
the production and properties of catalysts; water; inorganic ion
exchangers; chemical waste treatment; glass; photochemical
processes. Semiconductor technology, solar cells, light fibres and
displays. 
",None,"
Niels J. Bjerrum"
,,,,,,,,,,,,
47304 , Ceramic Science and Engineering,English , 10 ECTS , 2016/2017 ,"F2 (Mon 13-17, Thurs 8-12)",MSc,DTU,"
To give the students an overview of traditional and advanced
ceramic materials, their properties, production methods and
characterization. 
","Explain the crystal structure of ceramic materials Find and analyze the phase diagrams of ceramic materials Explain the properties of ceramic materials (e.g. thermal,
mechanical and piezoelectric properties) Select a ceramic material for an industrial application Explain different methods for processing, forming and sintering
of ceramics Select and analyze ceramic processing methods and design a
fabrication process for producing a ceramic engineering
component Use and analyze scanning electron microscopy (SEM),
differential thermal analysis (DTA) and differential scanning
calorimetry (DSC) in R&D of new ceramic materials Use the sol-gel technique to produce the ceramic
nanopowders","
Properties of ceramic materials: physical, thermal, mechanical,
electric, magnetic, chemical. Phase diagrams (binary and ternary),
crystal structures.

Treatment of ceramic powders and glass production. Shaping of
ceramics: pressing, casting, plastic forming. Drying and sintering
of ceramic bodies, glass production.

Characterization of ceramics: X-ray diffraction, differential
thermal analysis, thermal expansion (dilatometer), particle size
and particle size distribution, measurement of strength, toughness
and hardness, surface area (BET), porosimetry, optic microscopy,
electron microscopy, Raman spectroscopy.

Toughening of ceramics. Design of ceramics. 
","42110,26027,26000,26026","
Irina Petrushina,
Andreas Kaiser"
,,,,,,,,,,,,
47305 , Electrochemistry,English , 5 ECTS , 2016/2017 ,F3A (Tues 8-12),MSc,DTU,"
To give the students knowledge of advanced electrochemistry with
emphasis on modern electrochemical techniques. 
","Explain the nature of the electrochemical terms and
concepts Understand the nature of electrochemical reactions Understand the kinetics of electrochemical reactions Plan and perform electrochemical experiments Design an electrochemical cell Perform cyclic voltammetry measurements and explain the
mechanism and kinetics of the studied electrochemical reaction from
the experimental data Use the modern electrochemical techniques (chronoamperometry,
chronopotentiometry, pulse voltammetry, square-wave voltammetry),
as well as treat and analyze the experimental data Perform an electrochemical impedance experiment and obtain the
equivalent electric circuit for the studied electrochemical
reaction Critically assess achieved experimental data, including sources
of error and uncertainties","
The course helps the student to understand the nature of the
electrochemical reactions and the peculiarities of electrochemical
kinetics. The course also gives knowledge of modern electrochemical
instrumental methods: steady state voltammetry, chronoamperometry,
chronopotentiometry, rotating disk electrode voltammetry, cyclic
voltammetry, microelectrode voltammetry, impedance spectroscopy,
pulse and square-wave voltammetry. This knowledge includes
mathematical description of the mentioned techniques with an
explanation of how to use them to solve different problems of the
electrochemical kinetics. The course includes practical exercises
that illustrate some of the electrochemical techniques, and it
gives a survey of electrochemical instrumentation. 
","28220,26271,26233,26220,26222,26225","
Irina Petrushina"
,,,,,,,,,,,,
