COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
28001 , Introduction to chemistry and chemical engineering,Danish , 10 ECTS , 2016/2017 ,"E5 (Wed 8-17) ,  January and F3A (Tues 8-12)",BSc,Department of Chemical Engineering,"To give an introduction to chemical and biochemical products and processes from primarily Danish industry and on this basis to illustrate the use of chemical, physical and mathematical basic subjects as well as the technical and chemical disciplines such as chemical engineers must be able to contest. In inorganic chemistry identified mainly focus on the production and use of compounds of the transition metals.","A student who has met the objectives of the course will be able to:
Describe typical tasks for a chemical engineer.
account for a number of products and processes for Danish companies in chemistry, bioteknolgi, pharmaceuticals and energy.
formulate and solve simple mass balances for stationary processes.
formulate and solve simple energy balances for stationary processes.
resolve and report greater technical preparation task in collaboration with other students.
perform dimension analysis
conduct and report experiments with manufacturing and applications of transition metal compounds.
assess the safety risks of chemical experiments from material safety data sheets
perform data processing of larger data sets
Analyze and discuss various examples of technological innovation and user-driven innovation
Explain the various materials applications","
Introduction to chemical and biochemical industry and the related
disciplines. A number of products and processes from Danish
companies will be discussed. Solution of exercises related to these
products and processes involving simple process models and reaction
engineering.

Inorganic and bio-inorganic compounds, their synthesis and
applications. Excursions. 
",None,"
Kim Dam-Johansen,
Anne Ladegaard Skov,
Kenny Ståhl"
,,,,,,,,,,,,
28012 , Chemical and Biochemical Process Engineering,Danish , 7.5 ECTS , 2016/2017 ,E3A (Tues 8-12) and January  or  F5A (Wed 8-12) and June,BEng,Department of Chemical Engineering,"
Through the analysis of a particular chemical and biochemical
productions, to give the students an introduction to the nature,
structure and methods of the chemical engineering profession. 
","Draw process flow sheets Describe chemical and bio processes Set up and solve mass balances Set up and solve energy balances Calculate equilibrium composition Use the terms conversion and fractional conversion in
calculations Calculate the consumption of chemicals used for water
treatment Use kinetic expressions for process calculations Solve projects in groups and present the results in a report
and orally Take environmental issues in consideration in project
work","
Introduction to the chemical and biochemicalprocess industries.
Flowsheets for setting up material and energy balances. Mass and
energy balances for continuous and batchwise processes and
operations. Introduction to chemical equilibrium and chemical and
biochemical kinetics. Elementary energy balances. 
",None,"
Karsten Clement,
Peter Szabo,
Hariklia N. Gavala"
,,,,,,,,,,,,
28016 , Mathematical models for chemical and biochemical systems,Danish , 7.5 ECTS , 2016/2017 ,"E4 (Tues 13-17, Fri 8-12)  or  F4 (Tues 13-17, Fri 8-12)",BEng,Department of Chemical Engineering,"
For an engineer it is important to analyse practical problems by
simplified models, each of which simulates different aspects of the
problem. In the course, the students learn to formulate models for
simple chemical and biochemical systems. Furthermore, the students
must obtain knowledge and capabilities within a number of central
mathematical concepts and methods in order to solve the models
analytically or by approximate methods. 
","Identify relevant system boundaries and select an appropriate
control volume in simple (bio)chemical systems. Identify mass and energy interactions between the system and
the surroundings. Use the fundamental balance equations for mass and energy to
derive a differential equation for the system. Introduce and apply dimensionless variables in the analysis of
the mathematical model for the system. Determine the type of a system of linear differential equations
and perform a phase space analysis. Find the stationary points for two coupled non-linear
differential equations, linearise around each stationary point,
determine the type of the linearised system, find the nullclines,
plot the vector field and perform a phase plane analysis. Analyse how a phase plane is changed when the parameters in a
(bio)chemical system is changed. Perform the necessary calculations for a mathematical analysis
of a (bio) chemical system. Normally using symbolic and numerical
computer tools, (especially the program Maple). Keep track of units and orders of magnitude of the variables in
a mathematical model of a (bio) chemical system.","
Differentiability and linearization. The development of
steady-state and non-steady-state differential mass- and energy
balances. Mathematical models for systems with chemical and
biochemical reaction, including enzymatic processes, together with
convective and diffusive mass- and heat transport. The formulation
of boundary conditions. Ordinary differential equations and systems
of such equations. The application of Maple. Laboratory exercise
with model formulation. 
","01907,01906,28022","
Peter Szabo,
Karsten Clement"
,,,,,,,,,,,,
28017 , Chemical and Biochemical Process Engineering,Danish , 7.5 ECTS , 2016/2017 ,E3A (Tues 8-12) and Spring,BEng,Department of Chemical Engineering,"
Through the analysis of a particular chemical and biochemical
productions, to give the students an introduction to the nature,
structure and methods of the chemical engineering profession. 
","Draw process flow sheets Describe chemical and bio processes Set up and solve mass balances Set up and solve energy balances Calculate equilibrium composition Use the terms conversion and fractional conversion in
calculations Calculate the consumption of chemicals used for water
treatment Use kinetic expressions for process calculations Solve projects in groups Take environmental issues in consideration in project
work","
Introduction to the chemical and biochemicalprocess industries.
Flowsheets for setting up material and energy balances. Mass and
energy balances for continuous and batchwise processes and
operations. Systems with recycle. Introduction to chemical
equilibrium and chemical and biochemical kinetics. Elementary
energy balances. 
",None,"
Karsten Clement"
,,,,,,,,,,,,
28020 , Introduction to Chemical and Biochemical Engineering,Danish , 10 ECTS , 2016/2017 ,E3A (Tues 8-12) and F3A (Tues 8-12),BSc,Department of Chemical Engineering,"
The aim of the course is to give an introduction to chemical

engineering concepts that are used in the chemical,
biotechnological, and the pharmaceutical industry. This
introductory course will make the student able to

understand the description of an engineering problem and be able to
solve the problem by using the given information or information
found in the literature

understand and sketch flowsheets for plants

calculate size, composition, temperature and pressure of streams in
plants

calculate energy transfer in systems with pumps and in pipes

know the fundamental principles behind a number of important types
of process equipment and to get a general knowledge of such
equipment

make quantitative calculations to design process equipment and to
predict performance and capacity of existing equipment when
operating conditions are changed 
","Draw proces flow sheets for chemical and biological
processes Set up and solve mass and energy balances for chemical and
biological processes Set up and solve transient mass balances for chemical and
biological processes Calculate equilibrium composition, dew point and boiling point
for a two phase gas liquid system based on Raoult and Henry's
laws Apply phase diagrams to calculate equilibrium composition and
amounts for two-phase systems Apply mass balances and equilibrium calculations to make design
calculation on equilibrium stage processes such as distillation and
extraction Calculate required number of equilibrium stages by
McCabe-Thiele's method Apply the mechanical energy balance to calculate the exchange
of energy in pumps and other process equipment Calculate the friction pressure drop due to flow in pipes,
fittings and fixed beds Design frequently encountered process equipment such as
filters, cyclones, fluid beds, heat exchangers, columns for
absorption and stripping Solve a chemical engineering problem and formulate the
calculation method and the results in a report","
The course is extended over two semesters and combines theory,

and a major course problem. Systematic mass and energy balances for
chemical processes with and without chemical reaction and with and
without multiple phases.

Stage processes exemplified by absorption, distillation and
extraction columns. Applications of phase equilibria, bubble point
and dew point calculations in multicomponent systems. Design of
distillation columns.

Examples: A number of typical problems from industrial processes
are presented to illustrate practical applications and to form a
background for understanding the quantitative methods described in
the course. Practical examples on solution of environmental
problems.

Flow: The mechanical energy balance, flow of gases and liquids,
calculation of friction losses in pipe systems. Pumps and design of
pipe systems. Filtration and sedimentation processes including
fluidization.

Heat transfer: Heat transfer by conduction, convection and
condensation.

Design of heat exchangers.

Mass transfer: Differential mass balances, batch distillation,
diffusion, rate dependent mass transfer operations (absorption,
stripping). 
","26201,10020","
Anker Degn Jensen,
Kaj Thomsen"
