COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
26000 , General Chemistry,Danish , 5 ECTS , 2016/2017 ,E4B (Fri 8-12) and F5B (Wed 13-17),BSc,Department of Chemistry,"
To provide knowledge of the basic chemical principles and give
proficiency in their use in chemical problems. 
","Describe atomic structure, electronic energy levels, the most
important nuclear decay processes and perform quantitative
calculations at the atomic level. Describe the structure of the periodic table incl. symbols,
names, electron configurations and magnetic properties. Construct molecular orbital diagrams incl. electron
configuration, magnetic properties and bond order for diatomic
molecules. Write ""Lewis structures"" and resonances for molecues,
hybridization of atomic orbitals, structure and magnetic properties
og molecules. Describe chemical bonding and their polarity ond calculate
dipole moments and bond energies of covalente bonds. Construct ""Born-Haber cycles"" for a chemical reaction
and calculate an unknown quantity in the cycle. Describe charateristica of the three states of matter and
scetch a phase diagram relating these. Calculate vapor presure, heat of vaporazation or melting point
when two of these are known. For solid state, characterize the three cubic unit cells,
coordinaiton number, number of atoms pr. cell, atomic/ionic radii,
and utilize the Bragg equaiton to calculate crystalographic
parameters. Equilibrium calculaitons for reactions in gas phase and aquatic
solution. Calculate pH in waek and strong acids and bases and mixtures
thereof and utilize the soluability product to calulate ion
concentrations.","
Nuclear chemistry. Atomic theory. The periodic table. Periodic
properties. Chemical bonding. Molecular geometry. Acids and bases.
States of matter. 
",None,"
Rasmus Fehrmann"
26003 , Chemical Synthesis,English , 5 ECTS , 2016/2017 ,June,BSc,Department of Chemistry,"
To practice laboratory techniques with particular emphasis on
synthesis of organic and inorganic compounds. To use spectroscopic
methods for compound identification. To illustrate and broaden the
introductory chemistry. To practice a safe behavior in the
laboratory. 
","Assemble synthetic apparatus using standard laboratory
glassware Carry out simple organic and inorganic syntheses in 1 to 3
reaction steps Perform work-up of a reaction by basic chemical manipulations
on a laboratory scale Write experimental records in a laboratory journal in a way
that will allow the experiment to be repeated Identify products by qualitative, spectroscopic (IR) and
physical (melting point, boiling point, optical rotation)
methods Use gas chromatography, gravimetric analysis and titration for
determination of purity Use databases to access safety records for chemical
compounds Work safely in the chemical laboratory","
Synthesis of organic and inorganic compounds. Simple synthetic
techniques for separation and purification of compounds, e.g.
distillation, filtration, recrystallization, drying, and
filtration. Analysis by spectroscopic methods (UV-VIS and IR
spectroscopy). Notebook writing and safety in the laboratory
including application of handbooks, databases, and workplace
instructions. 
",None,"
Robert Madsen,
Kenny Ståhl"
26006 , Inorganic Chemistry for Chemists,Danish , 5 ECTS , 2016/2017 ,E3A (Tues 8-12) and January,BSc,Department of Chemistry,"
To provide a theoretical and practical knowledge of the periodic
table and its elements with particular emphasis on inorganic
compounds and processes 
","write the periodic table of the elements describe systematic changes in the properties of the elements
in the periodic table rationalize systematic changes in the chemical reactivity of
the elements in the periodic table explain systematic differences in the reactivity of inorganic
compounds based on knowledge of the constituent elements describe the structure of main group compounds from VSEPR
theory apply main thermodynamic tools (e.g. Frost-diagrams) to
categorize chemistry of the elements describe the chemistry of the key elements in their most common
oxidation states desribe the most important industrial inorganic chemical
processes rationalize the differences between the main group chemistry
and coordination chemistry apply crystal/ligand field theory to describe the structure and
electronic structure of coordination compounds describe the chemistry and structure of simple organometallic
compounds","
The Chemistry of the Periodic Table. 
",None,"
Anders Riisager"
26008 , Exercises in Inorganic Chemistry,Danish , 2.5 ECTS , 2016/2017 ,E4A (Tues 13-17),BSc,Department of Chemistry,"
Illustration of inorganic chemical reactions and identifications.
God laboraty praktice. 
","Relate experiments to the aqueous chemistry of vselected main
group elements Relate experiments to the aqueous chemistry of selected
transition metal elements Balance chemical equations Perform a chemical analyses according to a given procedure Identify simple inorganic compounds Apply basical principles for separation in analytical
chemistry Apply safetyinstuctions for commen inorganic reagents Perform god laboratory behaviour","
Kvalitativ analyses of selected elements. 
",None,"
Hans Erik Mølager Christensen"
26009 , Chemical Synthesis,English , 5 ECTS , 2016/2017 ,F2A (Mon 13-17) and F3A (Tues 8-12)  or  F5 (Wed 8-17),BSc,Department of Chemistry,"
To practice laboratory techniques with particular emphasis on
synthesis of organic and inorganic compounds. To use spectroscopic
methods for compound identification. To illustrate and broaden the
introductory chemistry. To practice a safe behavior in the
laboratory. 
","Assemble synthetic apparatus using standard laboratory
glassware Carry out simple organic and inorganic syntheses in 1 to 3
reaction steps Perform work-up of a reaction by basic chemical manipulations
on a laboratory scale Write experimental records in a laboratory journal in a way
that will allow the experiment to be repeated Identify products by qualitative, spectroscopic (IR) and
physical (melting point, boiling point, optical rotation)
methods Use gas chromatography, gravimetric analysis and titration for
determination of purity Use databases to access safety records for chemical
compounds Work safely in the chemical laboratory","
Synthesis of organic and inorganic compounds. Simple synthetic
techniques for separation and purification of compounds, e.g.
distillation, filtration, recrystallization, drying, and
filtration. Analysis by spectroscopic methods (UV-VIS and IR
spectroscopy). Notebook writing and safety in the laboratory
including application of handbooks, databases, and workplace
instructions. 
",None,"
Robert Madsen,
Kenny Ståhl"
26010 , Introductory Project in Chemistry,Danish , 10 ECTS , 2016/2017 ,E5 (Wed 8-17) and January,BSc,Department of Chemistry,"
Completation of a larger group project, including litterature
search and scientific writing. 
","Use relevant data bases to find chemical literature. Conduct a professional information search on a chemical
subject Select the essential information from a major litterature
material Organize the collaboration concerning information search and
reporting in a group. Describe and conclude on a chemical subject based on literature
material. Write a well structured and well documented tecnical/scientific
report Create coherens in a report with several authors. Carry out a clear an well illustrated oral
prersentation","
During the project work the students will obtain competence in
litterature search, understanding of chemical litterature and
scientific reporting. 
","26000,28001","
Esben Thormann"
26011 , Chemical Synthesis,English , 5 ECTS , 2016/2017 ,August,BSc,Department of Chemistry,"
To practice laboratory techniques with particular emphasis on
synthesis of organic and inorganic compounds. To use spectroscopic
methods for compound identification. To illustrate and broaden the
introductory chemistry. To practice a safe behavior in the
laboratory. 
","Assemble synthetic apparatus using standard laboratory
glassware Carry out simple organic and inorganic syntheses in 1 to 3
reaction steps Perform work-up of a reaction by basic chemical manipulations
on a laboratory scale Write experimental records in a laboratory journal in a way
that will allow the experiment to be repeated Identify products by qualitative, spectroscopic (IR) and
physical (melting point, boiling point, optical rotation)
methods Use gas chromatography, gravimetric analysis and titration for
determination of purity Use databases to access safety records for chemical
compounds Work safely in the chemical laboratory","
Synthesis of organic and inorganic compounds. Simple synthetic
techniques for separation and purification of compounds, e.g.
distillation, filtration, recrystallization, drying, and
filtration. Analysis by spectroscopic methods (UV-VIS and IR
spectroscopy). Notebook writing and safety in the laboratory
including application of handbooks, databases, and workplace
instructions. 
",None,"
Robert Madsen,
Kenny Ståhl"
26027 , Fundamental Chemistry,Danish , 5 ECTS , 2016/2017 ,F5A (Wed 8-12),BSc,Department of Chemistry,"
To introduce the principles of chemistry and the applications of
chemistry in a modern society. 
","Understand the Periodic System and periodic variations in
properties. Describe the structure of atoms and molecules. Understand the ideal gas Law and define partial pressure. Define and use entalphy, entropy, and free energy. Understand stoichiometry and balance reactions. Describe and differentiate between various types of chemical
bonds. Describe the most important types of organic compounds. Describe the most important types of biological compounds. Calculate reaction orders and activation energies and explain
catalysis. Write the equilibrium constant and describe the content at
chemical equilibrium. Calculate pH in solutions of strong and weak acids and bases
and puffers. Calculate oxidation states and balance redox
reactions.","
Atoms and the periodic system. The chemical bond and the structures
of molecules and crystals. Gasses, liquids and solids. Energy,
entropy and chemical reactions. Chemical equilibrium. Kinetics of
reactions and catalysis. Redox reactions and electrochemistry.
Freezing point lowering and osmosis. Acid/base equilibria.
Introduction to organic chemistry and biochemistry. 
",,"
Kasper Planeta Kepp,
Katrine Qvortrup"
26028 , Fundamental Chemistry in English,English , 5 ECTS , 2016/2017 ,E2A (Mon 13-17),BSc,Department of Chemistry,"
To introduce the principles of chemistry and the applications of
chemistry in a modern society. 
","Understand the Periodic System and periodic variations in
properties. Describe the structure of atoms and molecules. Understand the ideal gas Law and define partial pressure. Define and use entalphy, entropy, and free energy. Understand stoichiometry and balance reactions. Describe and differentiate between various types of chemical
bonds. Describe the most important types of organic compounds. Describe the most important types of biological compounds. Calculate reaction orders and activation energies and explain
catalysis. Write the equilibrium constant and describe the content at
chemical equilibrium. Calculate pH in solutions of strong and weak acids and bases
and puffers. Calculate oxidation states and balance redox
reactions.","
Atoms and the periodic system. The chemical bond and the structures
of molecules and crystals. Gasses, liquids and solids. Energy,
entropy and chemical reactions. Chemical equilibrium. Kinetics of
reactions and catalysis. Redox reactions and electrochemistry.
Freezing point lowering and osmosis. Acid/base equilibria.
Introduction to organic chemistry and biochemistry. 
",,"
Kasper Planeta Kepp,
Katrine Qvortrup"
26030 ," Fundamental Chemistry for ""General Engineering"" students",English , 5 ECTS , 2016/2017 ,E2A (Mon 13-17),BSc,Department of Chemistry,"
To introduce the principles of chemistry and the applications of
chemistry in a modern society, intended for ""general
engineering"" students. 
","Understand the Periodic System and periodic variations in
properties. Describe the structure of atoms and molecules. Understand the ideal gas Law and define partial pressure. Define and use entalphy, entropy, and free energy. Understand stoichiometry and balance reactions. Describe and differentiate between various types of chemical
bonds. Describe the most important types of organic compounds. Describe the most important types of biological compounds. Calculate reaction orders and activation energies and explain
catalysis. Write the equilibrium constant and describe the content at
chemical equilibrium. Calculate pH in solutions of strong and weak acids and bases
and puffers. Calculate oxidation states and balance redox
reactions.","
Atoms and the periodic system. The chemical bond and the structures
of molecules and crystals. Gasses, liquids and solids. Energy,
entropy and chemical reactions. Chemical equilibrium. Kinetics of
reactions and catalysis. Redox reactions and electrochemistry.
Freezing point lowering and osmosis. Acid/base equilibria.
Introduction to organic chemistry and biochemistry. 
",,"
Kasper Planeta Kepp,
Søren Preben Vagn Foghmoes"
