COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
11000 , Engineering work,Danish , 10 ECTS , 2016/2017 ,E3B (Fri 13-17) and E5 (Wed 8-17),BSc,Department of Civil Engineering,"
Introduction to engineering work. Training of diciplines such as
problem solving, teamwork, documentation and presentation.
Introduce studyforms such as lectures, selfstudy, groupwork and
project work. Obtain skills in drawing/communication. 
","Describe/list the building engineers typical work areas Accumulate knowledge independently (and in groups) Arrange and execute simple project assignments Use basic rules in writing technical reports Describe general technical/physical conditions in/at simple
buildings Identify and explain/interpret simple problems of the ding
physics type Distinguish between and select solutions for functional
requirements of technical/physical nature Design more independently developed solutions for simple
problems Use freehand drawings for problem solving and presentation Use CAD to produce technical drawings Use Building Information Modelling (BIM) as design method and
tool","
The course is an introduction to engineering work. What does an
engineer do and how? Through practical examples from the world of
engineering problem solving skills are exercised and various
methods and tools for scketching, drawing (CAD) and building
modelling (BIM) are essential elements. 
",None,"
Per Goltermann,
Kurt Kielsgaard Hansen,
Flemming Vestergaard,
Christian Rønne,
Carsten Rode"
,,,,,,,,,,,,
11010 , Building technology,Danish , 5 ECTS , 2016/2017 ,January,BSc,Department of Civil Engineering,"
To make the students familiar with basic facts and concepts in
construction and Danish construction technology.

To provide an understanding of the design- and project phases
content and engineers involvement therein.

To make the student able to analyze simple functional
relationships, dispose areas and propose design, building envelope
construction and simple installations for simpler types of
buildings - and produce optimized and collocated project proposals
including drawings and documented through appropriate perspective
calculations. 
","Identify and describe plain building-parts Collect and classify basic information as the basis for the
hypothesis Suggest appropriate area planning for simple buildings
features Suggest construction system and building envelope construction
of simple buildings Suggest rather simple installation systems Integrate current partial solutions into a single optimized
building design Detail relevant building solutions within limited topics Organize and carry out project-work in groups Perform drawings that exhaustively documents the suggested
solutions Produce the results obtained in a recognized academic report
format Presenting highlights of the report content in a short
presentation","
Building components and usual design, design and construction
processes, proposed provision of simple building layout incl. area
use, design of structural systems, building envelope and defining
key technical construction features, principles and routing.

Estimates of building design and sizing of ductwork in simple
ventilation design and dimensioning of simple heating systems,
performance of CAD drawings and project presentation.

Integration of all partial solutions into a single, optimized
project. 
",11000,"
Christian Rønne"
,,,,,,,,,,,,
11020 , Building Fire Safety,English , 5 ECTS , 2016/2017 ,E4A (Tues 13-17),MSc,Department of Civil Engineering,"
To obtain knowledge of fire safety engineering with a focus on the
regulations in Denmark. The focus is on life safety, which is
achieved through a robust design that ensures shorter evacuation
times than critical fire times. 
","Discuss the valid regulations in the domain of fire safety
engineering Differentiate projects to be designed according to the building
regulative system, from projects according to the rules established
by the emergency management act Select the right category of application in relation to a
project Explain methods for active and passive fire safety Evaluate and select appropriate fire test methods for building
materials Explain principles of detection and suppression of fires Analyse the evacuation safety level in a building, based on a
comparison of RSET and ASET Review tenability criteria for fire Make a calculation of the evacuation of a building Perform timeline analysis for a fire scenario that is deemed
relevant Perform a simple risk analysis","
- Injuries after a building fire

- The fire regulations in Denmark

- Performance based codes

- Fire tests and classification

- Basic fire dynamics properties

- Fire properties of common buildings materials

- Active and passive fire safety systems

- Evacuation analysis

- Fire safety analysis and planning of building projects

- Fire risk assessment

- Sustainable fire safety design

- Fire modeling 
",,"
Grunde Jomaas"
,,,,,,,,,,,,
11022 , Fire dynamics,English , 5 ECTS , 2016/2017 ,F4B (Fri 8-12),MSc,Department of Civil Engineering,"
To make the students able to carry out fire dynamic analysis in
enclosures. 
","Explain the assumptions for the empirical and theoretical
formulas in fire dynamics Review the terminology in the domain of fire dynamics Make simple calculations of parameters in the domain of fire
dynamics, i.e. heat release rates, temperatures, smoke layer
properties, radiation etc. Validate the calculated results Analyse an initial fire room and estimate input parameters to
the used calculation models Explain the principle in a two-zone model Interpret and estimate the values of fire test data Plan a fire dynamic analysis based on hand calculation as well
as a zone model Give a description of a room fire in a pressure as well as in a
temperature related perspective Calculate properties of importance to ignition, flame spread
and heat transfer during a fire Explain the central theoretical basis that a two-zone model and
a CFD-model are based on","
1. Fire load

2. Energy release rates

3. Flames and plumes

4. Pressure and ventilation flow

5. Gas temperatures in enclosures

6. Heat transfer and ignition

7. Smoke filling

8. Fire models 
",None,"
Grunde Jomaas"
,,,,,,,,,,,,
11023 , Structural Fire Safety Design,English , 5 ECTS , 2016/2017 ,E2B (Thurs 8-12),MSc,Department of Civil Engineering,"
The course aims to give the participants competences to understand,
design and calculate load-bearing structures exposed to fully
developed fires, standard fires and high temperatures. 
","Understand how the fire development affects the load-bearing
capacity of a structure Analyse a fire compartment of a building Assess a structural design fire Comprehend the behaviour of a fire exposed structure Analyse the damage of a fire exposed structure Design a structure of wood, steel and concrete for a fully
developed fire Design a structure of wood, steel and concrete for a
standardised fire Assess how connections may respond to a given fire Evaluate results of structural fire tests Assess possibilities of repair of a fire damaged
structure","
Technical basis

Performance-based fire safety design of structures

Fire load

High temperature material properties for wood, steel and concrete

Fire resistant structural materials

Load-bearing capacity at fire of beams, columns, decks, walls and
whole structures

Load-bearing capacity of fire exposed connections

Anchorage of fire exposed reinforcement

Explosive spalling

Examples of appropriate design and construction 
","11744,11746,11531,11941,11312,11311","
Kristian Dahl Hertz,
Luisa Giuliani"
