COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
31001 , Electric circuits 1,Danish , 5 ECTS , 2016/2017 ,E3A (Tues 8-12),BSc,Department of Electrical Engineering,"
To train skills in analyzing and synthesizing simple electronic
circuits for processing of analog signals. 
","Define current, voltage, and power. Explain independent and
dependent ideal voltage and current sources. State and apply basic circuit laws (Kirchhoff) and solve
circuits by systematic node-voltage and mesh-current
techniques. Solve simple circuits with resistances in series or parallel.
Apply relaations for voltage dividers and current dividers. Find and apply Thévenin and Norton equivalents. Apply the
superposition principle. Explain and apply component relations for capacitances and
inductances. Find DC-solutions for circuits with resistances,
capacitances and inductances. Solve first-order RC and RL transient
problems. Explain and use generel amplifier models and amplifier
concepts. Explain the ideal opamp. Analyze ideal opamp circuits with
negative feedback. Explain and analyze standard opamp circuits,
such as voltage follower, inverting and noninverting voltage
amplifier, integrator, and differentiator. Explain diode models and use the ideal-diode model and
piecewise-linear models to solve circuits. Explain various
rectifier circuits and complete rectifier systems. Explain the operation of transistors (bipolar and/or FET). Use
large-signal equivalent circuits to analyze transistor circuits.
Use small-signal equivalent circuits to analyze transistor
circuits. Make computer simulations of simple circuits by the use of
simulation programs (currently LTspice). Make laboratory measurements with standard laboratory
equipment. Understand Danish and English basic electro-technical
terminology.","
Kirchhoff's rules and circuit calculations. Thevenin's
theorem. Superposition. Resistors, capacitors, and inductors,
voltage sources and current sources. Transient behaviour.
Operational amplifiers. Semiconductor components and model
descriptions. Amplifier stages. Large signal and small signal
models. Computer analysis. 
",None,"
Michael A. E. Andersen"
,,,,,,,,,,,,
31003 , Electric circuits 2,Danish , 5 ECTS , 2016/2017 ,F2B (Thurs 8-12),BSc,Department of Electrical Engineering,"
To train skills in analyzing and synthesizing simple electronic
circuits for power management and analog signal processing. 
","Solve steady-state ac circuits, using phasors and complex
impedances. Compute power for steady-state ac circuits, and determine load
impedance for maximum power transfer. Calculate active, reactive and apparent power. Analyze three-phase systems and three-phase power. Determine the transfer functions of first-order and
second-order filters. Explain and use decibels, logarithmic
frequency scales, and Bode plots. Make calculations on magnetic circuits. Make calculations on rotating machines. Make calculations on rectifiers and inverters Make calculations on DC/DC converters. Calculate RMS and average values of AC waveforms.","
Steady-state sinusoidal analysis. Phasors and complex impedances.
Filters and complex transfer functions. Power management circuits.
Transformers and rotating machines. 
",31001,"
Esben Larsen"
,,,,,,,,,,,,
31013 , Engineering Practices ,Danish , 10 ECTS , 2016/2017 ,E1B (Thurs 13-17) and January,BSc,Department of Electrical Engineering,"
To give an introduction to studying at DTU and to give an
introduction to the area of electrotechnology, including
presentations of typical methods and tasks within this area. This
includes also laboratory work. To develop good study and work
methods for both theoretical and experimental tasks and to practice
written documentation. 
","Make use of the DTU IT facilities. Make use of the DTU CampusNet facilities. Gain whithout prerequisites a quick understanding of a tecnical
topic. Organize and implement project work in groups. Behave adequately in a (electro) laboratory environment. Make short written reports on technical project works. Be conscious about personal study techniques in other
courses. Make a consistent plan for an entire bachelor curriculum, under
here independent to select courses from professional
interest.","
Project tasks within the area of electro technology. The project
will include elements from other courses on first semester.

Studying techniques and study planning. Use of DTU's
facilities, including the databar system.

In the 13-week period, there will be a number of different projects
in the different suggested study lines. In the 3-week perriod, a
single project is given. The project is a laboratory project and is
based on the courses Digital Electronics 1 and Electric Circuits 1.
Further, there is also fucus on who to work and behave in a electro
laboratory. 
",None,"
Hans Henrik Niemann"
,,,,,,,,,,,,
31015 , Introductory project ,Danish , 10 ECTS , 2016/2017 ,F2A (Mon 13-17) and June,BSc,Department of Electrical Engineering,"
Learning to formulate an open design oriented project, i.e. give a
problemstatement and its limitations, to plan, and to carry out an
engineering project. Training in group work on a technical project.
To focus safety issues under experimental lab environments. Deeper
understanding of a selected subject within electrotechnology. 
","Describe a technical problem Determine delimitations for a technical project Illustrate a methods for solving a technical problem Evaluate solutions of a technical problem Estimate necessary resources for solving a technical
project Practice a general method of project work Through a team work to solve and evaluate a technical
problem Docoment and defend results of a project work Evaluate safety requirements given for persons and equipments
operating in laboratories","
General teaching in information retrieval, project work, and
reporting. Specific teaching in relevant theories and practices
associated with the selected subject. Approval (within the 13-week
period) of a project plan. Practical project work during the last
part of the 13-week period and the 3-week period. Document the
results of the project work through a paper/poster/self evaluation
and a defend on these activities. 
",,"
Esben Larsen,
Hans Henrik Niemann"
,,,,,,,,,,,,
31035 , Engineering Electromagnetics,English , 10 ECTS , 2016/2017 ,E1A (Mon 8-12) and E5A (Wed 8-12),BEng,Department of Electrical Engineering,"
The purpose of the course is to introduce electromagnetics so that
the basic laws, which in the course are applied to idealized
special cases, can be used to estimate the behavior of realistic
electrical systems. In addition to classical electromagnetism, the
students should be able to make simple calculations on transmission
line circuits which are important e.g. for high-speed digital
electronics or microwave engineering. Additionally, the students
should be trained in combining theoretical considerations with
quantitative calculations from computer programs such as Matlab and
laboratory measurements generated using standard instruments such
as, e.g., oscilloscopes, signal generators and network analysers.
Finally, the course is intended as the first in a sequence for
students pursuing a carrier in antenna- or microwave circuit
design. 
","Describe waves and wave propagation mathematically in the time
domain as well as by use of phasors and be able to translate
between the two representations. Calculate propagation and attenuation in transmission lines
based on physical parameters such as dimensions and dielectric
properties. Calculate voltages, currents, transmitted power, etc. in
cascaded transmission line circuits with parallel load (e.g.
stubs), with time-harmonic signals. Calculate input and output voltages and currents in
transmission line circuits with transient signals. Explain the electrostatic field quantities and the constitutive
parameters. Explain Coulomb’s law, Gauss’ law and the concepts of
potential, capacitance, and polarization. Use knowledge of the behaviour of the electrical field in
conductors and dielectrics together with the boundary conditions
for calculation of the capacitance of idealized special geometries.
Estimate capacitance for realistic structures by analo Explain the magnetostatic field quantities and the constitutive
parameters. Explain Biot-Savart’s law, Gauss’ law for magnetism and
the concept of inductance. Use the knowledge of the behaviour of the magnetic field around
conductors together with the boundary conditions for calculation of
the inductance of idealized special geometries. Estimate inductance
for realistic structures by analogy. Use Faraday’s law to calculate induced voltage in simple
idealized geometries. Use this to estimate desired or undesired
inductive coupling. Give a mathematical description of plane waves in homogeneous
media and explain the concept of polarization. Calculate reflection and transmission coefficients for plane
waves at normal incidence to plane, homogeneous conductors and
dielectrics. Explain plane and perpendicular polarisation and
choose corresponding Fresnel reflection coefficients. Use common instruments such as, e.g., oscilloscopes, network
analysers, and signal generators. Use mathematical software e.g.
Matlab in support of calculations. Assess and analyse models by
comparison with measurements and vice versa. Apply Danish as well
as English electro-technical terminology","
- Waves and phasors, frequency, wave number, attenuation constant,
propagation constant.

- Transmission lines, transmission line parameters (R’, L’, G’,
C’), telegraphers equations, characteristic impedance, reflection
coefficient, transmission coefficient, standing wave ratio, input
impedance, power flow, Smith chart, matching, stub matching,
quarter wave transformer, transients.

- Coaxial cable, two-wire transmission line, micro strip
transmission line.

- Vector analysis, gradient, divergence, curl, cylindrical
coordinates, spherical coordinates.

- Electrostatics, electrical field quantities, charge and charge
density, dielectric constant, Coulomb’s law, Gauss’ law,
(electrical) potential, perfect conductor, conductor with loss,
isolators (dielectrics), polarisation, boundary conditions,
capacitance.

- Magnetostatics, magnetic field quantities, the Biot-Savart law,
Gauss law for magnetostatics, magnetic materials and permeability,
boundary conditions, inductance.

- Induction, Faraday’s law, Lenz’ law, ideal transformer, mutual
inductance.

- Maxwell's equations.

- Plane waves, intrinsic impedance, propagation constant, linear,
circular, and elliptical polarisation, reflection coefficient,
parallel and perpendicular polarisation, Fresnel reflection
coefficients, Brewster angle, Poynting vector and power flow.

- Laboratory measurements, oscilloscope, signal generator, network
analyzer.

- Simulation, Matlab.

Furthermore, the students should work with sensors based on an
electromagnetic principle as capacitive, inductive, or emf sensors,
so that they can be used in a measurement or communication system
in the semesters CDIO project. 
","01902,62732","
Michael Mattes"
