COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
12000 , Water and environmental management,Danish , 10 ECTS , 2016/2017 ,E5 (Wed 8-17) and January,BSc,Department of Environmental Engineering,"
The course is only given in Danish 
","Kendskab til betydende ingeniørarbejdspladser og
arbejdsopogaver forklare den overordnede struktur i Danmark
miljøadministration løse simple beregningsopgaver med ingeniørteknisk indhold forstå behovet for uorganisk og organisk kemi viden i forhold
til vand, vandforsyning og effekter i miljøet lære at rapportere et simpelt laboratorieforsøg omhandlende en
vandbehandlingsproces udarbejde en simpel risikoprofil for forureningsstoffer,
herunder beregne en PNEC værdi for et miljøfremmed organisk
stof arbejde løsningsorienteret i en projektgruppe med faste
tidsfrister identificere en problemformulering for en opgave med et konkret
miljøproblem udarbejde en referenceliste til en teknisk rapport udarbejde en teknisk rapport efter en forskrift udarbejde en poster og give en mundtlig præsentation for et
teknisk publikum","
The course is only given in Danish 
",None,"
Poul Løgstrup Bjerg"
,,,,,,,,,,,,
12003 , Introductory Environmental Field Course,Danish , 5 ECTS , 2016/2017 ,June,BSc,Department of Environmental Engineering,"
At give de studerende indsigt i miljøteknisk forskning ved
præsentation af DTU Miljøs forskningssektioner samt erfaringer i
planlægning, gennemførelse og afrapportering af simple
miljøtekniske feltundersøgelser udvalgt blandt de fire
forskningstemaer på instituttet. 
","Redegøre for vigtige miljøtekniske forskningsområder herunder
for DTU Miljøs fire forskningstemaer • Planlægge simple miljøtekniske målinger for udpeget problem
og lokalitet i samarbejde med medstuderende Tilegne sig nødvendig baggrundsviden, teori og procedurer for
at kunne gennemføre og planlægge simple miljøtekniske målinger Redegøre for sikkerhedsmæssige forhold for forsvarligt arbejde
i instituttes laboratorier Indsamle miljøtekniske data fra egen gennemført prøvetagning,
feltmåling og efterfølgende laboratorieanalyse • Behandle egne indsamlede miljødata ud fra tilegnet teori og
tolkningsmetoder • Afrapportere gennemførte undersøgelser på overskuelig
skriftlig form Præsenterer problem, forslag til undersøgelser, resultater og
tolkninger med efterfølgende diskussion af egen og andre gruppers
præsentationer","
Miljøforskning - mål og midler, DTU Miljøs forskningstemaer,
forskningsaktiviteter i relation til kursets fire
feltarbejdsopgaver, grundlæggende teori for gennemførelse af
feltarbejde, planlægning og gennemførelse af feltarbejde for ét af
fire emner: Grundvandstilstrømning til vandløb, Mikroplast i
miljøet, Stofbalance og rensningseffektivitet for
spildevandsrensningsanlæg, Gasemissioner fra komposteringsanlæg. 
",None,"
Peter Kjeldsen"
,,,,,,,,,,,,
12102 , Environmental Processes,English , 10 ECTS , 2016/2017 ,E5 (Wed 8-17),BSc,Department of Environmental Engineering,"
The overall aim of the course is to:

- Get a quantitative understanding of important physical,chemical
and microbiological processes that control:

- Concentrations of compounds in the environment

-Concentrations of compounds in environmental engineering
reactors/technical installations

- Create the foundation for more advanced courses within water
technology and water pollution

-Illustrate how the engineer works with practical issues. 
","Calculate concentrations in chemical equilibrium systems with
acids and bases, chemical precipitation and complex formation
reactions Carry out equilibrium calculations in two-phase gas/liquid
systems Calculate concentrations in systems with sorption and ion
exchange Explain the content of specifications of water quality and be
able to describe the concentrations of important components in
water Set up mass balances for natural and technical systems and be
able to calculate characteristic times Conduct calculations - based on mass balances - of transport of
water components controlled by advection, diffusion and dispersion,
including the transport in porous media Carry out tracer experiments and interpret the data in relation
to basic reactor parameters Carry out calculations of reaction kinetics in simple batch
reactors Calculate concentrations in reactors combining reaction
kinetics and mass transport (reactor hydraulics) Conduct experiments in the laboratory Communicate aims, theory, methods, results, discissions and
conclusions in a technical report Carry out an engineering analysis of the concentrations of
compounds in a relatively complex system consisting of processes in
nature (surface water and groundwater) and in a
waterworks","
Mass balances,chemical equilibria,acids and bases, carbonate
chemistry, chemical precipitation, complex formation,phase
distributions in two- and three-phase systems (water, solid
gas),redox systems,ion exchange,sorption. Flow in porous systems.
Soil properties. Emphasis is put on learning the theoretical
principles through practice-oriented activities: project work and
lab. exercises. In addition, emphasis is put on communication of
results in the form of well-structured reports. 
",12000,"
Henrik Rasmus Andersen"
,,,,,,,,,,,,
12104 , Modelling of Environmental Processes and Technologies,English , 10 ECTS , 2016/2017 ,"E3 (Tues 8-12, Fri 13-17)",MSc,Department of Environmental Engineering,"
This course aims to provide students the general skills required to
work with mathematical models and apply them to environmental
problems. The course has three major elements: i) environmental
statistics including parameter or model optimisation, sensitivity
analysis and stochastic modelling, ii) deterministic modelling
using ordinary and partial differential equations, and iii)
modelling of biogeochemical systems. The course builds on a series
of examples drawn widely from the field of environmental
engineering and employs MATLAB, MULTIPHYSICS and PHREEQC to
illustrate the general modelling principles. The course will teach
students how to integrate observed data with models and apply them
to solve environmental problems. 
","Formulate mathematical models of environmental engineering
problems. Identify and describe the governing processes that are relevant
to environmental problems. Apply fundamental physical, geochemical and biological
knowledge to solve an environmental problem. Express process understanding mathematically and be able to
solve the resultant equations. Mathematically formulate ordinary and partial differential
equations, boundary and initial conditions. Employ models to solve biogeochemical problems. Utilize numerical and analytical techniques to find the
solutions of mathematical models. Utilize available modeling tools, in particular MULTIPHYSICS,
MATLAB and PHREEQC. Integrate models with data and practice through parameter
estimation, sensitivity and predictive modeling.","
Topics will include selections from the following: environmental
statistics including uncertainty assessment, parameter
optimisation, sensitivity analysis and stochastic modelling;
environmental models based on coupled ordinary and partial
differential equations including modelling of mass and energy
conservation and reactive transport, and models of microbial
processes; modelling of aquatic chemistry including gas
equilibration in aquatic systems, ion exchange and sorption, redox
processes, partial equilibrium, chemical kinetics; programming in
MATLAB and MULTIPHYSICS. 
",,"
Philip John Binning,
Stefan Trapp,
Massimo Rolle,
Luca Vezzaro"
,,,,,,,,,,,,
12111 , Environmental Processes for MSc students,English , 5 ECTS , 2016/2017 ,E5 (Wed 8-17),MSc,Department of Environmental Engineering,"
The overall aim of the course is to:

- Get a quantitative understanding of important physical,chemical
and microbiological processes that control:

- Concentrations of compounds in the environment

-Concentrations of compounds in environmental engineering
reactors/technical installations

- Create the foundation for more advanced courses within water
technology and water pollution 
","Calculate concentrations in chemical equilibrium systems with
acids and bases, chemical precipitation and complex formation
reactions Carry out equilibrium calculations in two-phase gas/liquid
systems Calculate concentrations in systems with sorption and ion
exchange Explain the content of specifications of water quality and be
able to describe the concentrations of important components in
water Set up mass balances for natural and technical systems and be
able to calculate characteristic times Conduct calculations - based on mass balances - of transport of
water components controlled by advection, diffusion and dispersion,
including the transport in porous media Interpretation of tracer experiments as a mean for
characterizing the hydraulics of environmental systems Carry out calculations of reaction kinetics in simple batch
reactors Calculate concentrations in reactors combining reaction
kinetics and mass transport (reactor hydraulics)","
Mass balances,chemical equilibria,acids and bases, carbonate
chemistry, chemical precipitation, complex formation,phase
distributions in two- and three-phase systems (water, solid
gas),redox systems,ion exchange,sorption. Flow in porous systems.
Soil properties. 
",,"
Henrik Rasmus Andersen"
