COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
41000, Mechanical Engineering Practice,Danish , 10 ECTS , 2016/2017 ,E5 (Wed 8-17) and E3B (Fri 13-17),BSc,Department of Mechanical Engineering,"
The goals of the course for the students are:

- An introduction to engineering work including the building of a
professional vocabulary

- To obtain a basic insight into the functioning of mechanical
products, their construction and production

- Training in disciplines like problem solving, cooperation/team
work, documentation and oral and written presentation

- An introduction to study-forms like lectures, self-study,
group-work and project work

- The ability to communicate professionally by means of sketches,
technical drawings and other graphical models

- The ability to use an advanced CAD system

- An introduction to study techniques and to make their first
attempt at their own study plan 
","Describe an industrial product by its processes, organs and
mechanical parts Describe the materials and the simplest production processes
applied in the production of typical mechanical parts and justify
the choices made by the construction engineer Analyze a technical solution in relation to e.g. forces and
losses Make a simple model for a thermodynamical process Describe characteristics of various ways of depiction (double
orthographic and axonometric drawing) and select the most suitable
form for a given assignment. Make the types of drawings, -principal sketches and diagrams,
that describe the construction and the function of machines, and
apply those to spatial drawings and sketches, mechanical drawings
and drawings of the engineering design Model a product consisting of several components in an advanced
CAD system and apply the models for making simple production
drawings Apply drawings (graphical models and communication) for problem
solving and presentation Document a project work both orally and written (report and
poster) Plan and carry out a minor engineering design project both
individually and in teams.","
The course is an introduction to engineering work. What does a
mechanical engineer do and how? Practical examples from the
engineers’ world are used to learn problem solving techniques with
group work as the form for project work.

Sketching technique, basic rules for graphic presentation and
standards for making drawings of machine components. Inclusion of
measurements and tolerances on drawings.

There is a general introduction to graphical communication
including presentation of results in the form of posters and
reports. There is also a section on application of CAD for product
modeling and production of technical drawings.

The technical areas on an introductory level that form the basis
for the examples could be: industrial products and production
processes, machine elements, materials and energy.

External lecturers from industry illustrate the work of engineers
and their roles by their own example.

The course also contains an introduction to study methods. 
",None,"
Knud Erik Meyer,
Anders Ivarsson"
,,,,,,,,,,,,
41010, User,Danish , 10 ECTS , 2016/2017 ,"E2A (Mon 13-17) ,  E2B (Thurs 8-12) and January",BSc,Department of Mechanical Engineering,"
- to learn the students to identify and develop a solution in
communication with a group of potential users.

- to facilitate motivation and the realisation of each
individual's potential for the Design & Innovation
curriculum.

-to introduce themes and studying techniques.

-to give the students a good experience through creative activity
and establishing a good social basis for a learning environment.

- to develop skills for observing and assessing socio-technical
relations. 
","collect and analyse data related to field studies identify and formulate problems and needs in target groups generate and combine a number of solutions based on perceived
needs describe and discuss functionality and visual qualities
connected to solutions understand the fundamental relation between form, materials,
and manufacturing processes select and modify solutions for a final design based on an
objective select and utilize basic visual communication techniques in
project work build simple mock-ups and models in scale of selected
solutions use basic techniques for studying organize the cooperation in a heterogeneous project group evaluate and deliver constructive criticism of the work of ones
own as well as other persons work illustrate and present results from project work for
stakeholders","
This course introduces the Design & Innovation curriculum and
basic techniques for studying. Engineering work and historics
related to design and innovation are introduced. Basic introduction
to Sciece & Technology Studies (STS) and the Theory of Science
in Enigneering. Basic materials science and manufacturing processes
are introduced. Included is also an introduction to working in a
modelling workshop.

The course has a common project theme. The students form working
groups and obtain insights i needs concerning specific environments
and target groups, they identify and formulate problems to be
solved, and develop a number of ideas and soloutions to be
presented in the format of mock-ups and posters. A scale model of
the finally selected solution is built. The model and a poster are
presented for interested parties. The progress of the course i
divided into stages and milestones, where the students present
their part results/solutions. Further project work to be done is
agreed upon at each milestone. 
",None,"
Per Boelskifte,
John Paulin Hansen"
,,,,,,,,,,,,
41012, Visual communication,Danish , 5 ECTS , 2016/2017 ,E1B (Thurs 13-17),BSc,Department of Mechanical Engineering,"
- to achieve basic skills in sketching, technical drawing,
typography, and lay-out.

- to apply these skills to a given assignment including assignments
in the other subjects in the first semester. 
","construct and interpret double rectangular projections,
including European projection construct and interpret axonometric projections interpret technical drawings apply perspective sketching apply the sketching techniques to the process of developing
ideas produce illustrations to support ideation select and use fonts for communication purposes plan lay-outs for posters","
- Sketching and formal, technical renderings are trained in the
following areas:

- 3D sketching including basic perpectives

- Rendering of form

- Typography

- Lay-out

The course consist of a number of exercises combined with short
lectures and tutoring.

The course is coordinated with the semester project i ""User
oriented design"" 
",None,"
Thomas Ulrik Stepnicka,
Per Boelskifte"
,,,,,,,,,,,,
41015, Mechanics and Materials,Danish , 10 ECTS , 2016/2017 ,"E2 (Mon 13-17, Thurs 8-12)",BSc,Department of Mechanical Engineering,"
To obtain an understanding of the connection between the function
of structures, their geometrical shape and the choice of material,
including manufacturing considerations. The course treats basics of
mechanics and the participants will learn to analyze stiffness and
strength of simple structures and their sub-components - including
the influence of material properties. Exercises include the
formulation of simple idealized mathematical/physical models.
Furthermore, the participants will obtain knowledge of the
composition and properties of materials and will be able to select
materials for simple structures. 
","outline equilibrium conditions for 2D and 3D force systems,
including the application of vector representation of a force and a
moment determine stress and strain in simple, linear elastic design
elements using Hooke’s law for a unixial stress state, and perform
dimensioning with respect to initiation of plastic yielding and
buckling use statics and free body diagrams to determine reactions,
including friction, and internal forces, and explain the
assumptions applied in the model calculate member forces in statically determined plane trusses
using the method of sections and the method of joints determine the center of gravity and the moment of inertia for
simple cross-sections determine stresses and deformations in simple, plane beams
subjected to bending and round bars loaded in torsion calculate the work of a force and the stored elastic energy,
and relate it to the principle of work and energy identify the main classes of materials and recognize principal
types of bonding for different materials classes recognize crystal types, unit cells and crystal lattices in
metals and simple ceramics differentiate between elastic, plastic and viscoelastic
behavior of metals, ceramics and polymers and classify deformation
and strengthening mechanisms and processes in materials explain the relationship between simple deformation mechanisms
and mechanical properties propose appropriate materials for everyday products based on
materials properties and materials fabrication processes","
Using a specific product as an illustrative example, e.g. a
bicycle, an understanding of the structural and functional
properties related to the product and its sub-components will be
obtained. The following material groups will be treated: metals;
ceramics; polymers; and composites. The physical concepts of
friction, forces and moments, stresses, deformations and strains,
uniaxial linear elasticity, plastic deformation and kinetic and
potential energy will be introduced. These concepts will be related
to the geometry and loading of structural components and also to
material composition, i.e. chemical structure, atomic bonding,
crystal and phase structures as well as microstructures for
composites and porous materials. The interplay between structural
properties under load, material parameters and geometry is
illustrated by simple examples of uniaxial tension/compression,
bending, torsion and buckling.

Organization: Basic statics is learned through case studies of
which an important part is the formulation of simple
physical/mathematical models for a given structure. Software like
Cambridge Engineering Selector is used for interactive material
selection. The knowledge obtained during the course is used during
two poster projects, where the design of a structure is analyzed
for statics and material choice - both from a mechanical as well as
from functional criteria. 
",None,"
Andy Horsewell,
Niels Aage,
Kristoffer Almdal"
,,,,,,,,,,,,
41020, Product Analysis and Redesign,Danish , 15 ECTS , 2016/2017 ,"F2A (Mon 13-17) ,  F3A (Tues 8-12) and F4A (Tues 13-17)  or  June  or  F2B (Thurs 8-12)  or  F1B (Thurs 13-17)",BSc,Department of Mechanical Engineering,"
Make the students capable of carrying through a broad spectred
multi dimensional analysis of a product and on this basis make a
redesign in a way that ensures a reasonable result within limited
time. Give the student a basic understanding of machines and
products with respect to shaping, functionality, properties,
product structure, manufacturing and the socio-technical context
(users, use, everyday life, producers, compettitors, etc.).
Exercise skills in observation, analysis, knowledge seach,
description and communication of these relations. Give an
elementary insight into, and train skills, in problem solving in
the form of redesign. Give an elementary insight into manufacturing
processes and the manufacturing considerations relevant for product
design. Provide a basis for reflective behaviour in project work
concerning ones own participation and the return of the teamwork. 
","describe a product's structure, mode of action and
embodiment (mode of action analysis). describe a product's manufacturing and assembly
(manufacturing analysis). identify the socio-technical context, which the product is part
of, and clarify the assignment of meaning in use through interview
with and observation of different actors (user analysis). interpret the results from the three analyses into a number of
improvement aspects and on this basis formulate requirements and
criteria for a specific redesign task. create solutions alternatives for a specific new embodiment
using a combination of systematic and creative techniques. select and detail solutions considering functionality,
manufacturing and use. make a technical assessment of the merit of the solution
alternatives with respect to requirements and criteria. argue for value in use based on the change in the
socio-technical context. make work sheets to document observations, considerations,
solutions, experiments and decisions in the work with analysis and
synthesis. read and discuss the work sheets made by others as a mean to
share colected knowledge in the analytical work and clarifications
during synthesis work. redesign a product based on the relevant analyses and the
proposed alternative solutions. reflect on the quality of the redesign activity and own
contribution.","
The course is structured into 3 sections: Project work and 2
theoretical sections in product manufacturing and problem solving
(each amount to 2,5 points of the total 15 points). The project is
based on an existing product, i.e. an artefact in its context. The
artefact as well as the context are taken apart / dissected and
analysed with respect to properties, problems, visions and design
intentions that appears to be in the product. From the result of
the analysis one or more improvement aspects are identified, e.g.
concerning usability or security. The product is then redesigned
based on a ""what now if""-approach. In the project work it
is important to achieve an understanding of how requirements are
met, the nature of the product and how the product is materialized.

In the theoretical section concerning manufacturing processes there
is an overall introduction to different manufacturing flows and the
participants work with manufacturing analysis of selected products.
The course covers cutting and sheet metal processes, net-shape
processes, assembly processes, surface technology, microproduction
and polymer processes.

In the theoretical section concerning creative problem solving a
number of themes are combined. Each theme includes practical
methods, introduction to practice, and explanation of the basis for
recognition. The themes encompass goal specification, creative and
systematic search for solutions, evaluation, selection and project
planning. The theoretical parts of the course are implemented as
lectures, methododical exercises and workshop training and are
evaluated through the deliverables from the project section. 
","42010,41010,42021,41020","
Torben Anker Lenau,
Balder Onarheim"
