COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
33206 , Transport in Nanostructures,English , 10 ECTS , 2016/2017 ,"E3 (Tues 8-12, Fri 13-17)",MSc,Department of Micro and Nanotechnology,"
The technology to fabricate mesoscopic and nanoscopic devices is
progressing rapidly. These systems possess, apart from forming the
basis for future electronic components, many fascinating physical
properties and research in this field is a central topic in modern
condensed matter physics. The theoretical description requires
advanced techniques based on many-body theory (e.g., Green
functions and diagrammatic perturbation theory). The general goal
of this course is to give the student some general acquaintance
with these techniques, and an overview of the basic physics. This
course also gives sufficient background knowledge for further
studies of many-body physics, including a short resume of complex
analysis (residue calculus). 
","Use second quantization Derive correlation functions in linear response Use Wick's Theorem to factorize higher order Green's
functions Draw Feynman diagrams for the impurity problem Derive collective excitations from the dielectric function Use Landauer-Büttiker formalism for conductances Use the equation of motion method to determine Green's
functions Use rate equations to describe transport dominated by Coulomb
blockade","
The first half of the course introduces the basic concepts in
many-body theory. The material is based on the text-book
""Introduction to quantum field theory in condensed matter
physics"", by H. Bruus and K. Flensberg. Furthermore, the
needed mathematical techniques are developed. The second half of
the course concentrates on physical applications, such as ballistic
transport, tunnelling, interference (including weak localization
and universal conductance fluctuations), collective phenomena in
low-dimensional systems, and nonequilibrium effects. The material
is fetched from the above text-book, or from current scientific
literature. 
","10307,10112,10303","
Antti-Pekka Jauho"
33236 , LabChip,English , 5 ECTS , 2016/2017 ,F3A (Tues 8-12),BSc,Department of Micro and Nanotechnology,"
The course aims at providing you with a general and broad
introduction to the multidisciplinary field of lab-on-a-chip
technology. This part of modern micro- and nanotechnology allows
for integration of electrical, mechanical, optical, chemical and
biological components in complete labs on microchips with embedded
microfluidic networks, sensors and actuators. During the course you
will acquire the basic knowledge on physical/​chemical/​biological
phenomena that are the basis for the recent development of
lab-on-a-chip systems with applications within basic research,
environmental control, biotechnology and medical industry. Another
aim of the course is to introduce you to interdisciplinary
collaboration; the course is traditionally followed by students
from many fields, typically nanotechnology, physics, chemistry, and
medicine & technology. 
","Explain the basic principles and examplify applications of
lab-on-a-chip technology Apply laminar flow theory to design microfluidic networks Derive, calculate, and evaluate characteristic quantities for
lab-on-a-chip systems Select and plan fabrication methods for simple microfluidic
systems Apply laminar flow theory to design microfluidic separation
systems Classify principles of on-chip chemical analysis and
separation Describe the basic principles of on-chip electrochemical and
optical sensors Explain the process steps of on-chip DNA-amplification
(PCR) Design a microfluidic system for chemical analysis Design a microfluidic system for cell culture","
In the first part of the course you will get an introduction to
basic hydrodynamic and chemical phenomena, fundamental theoretical
concepts and experimental techniques applied in lab-on-a-chip
technology. Important topics are microfluidic networks (pressure,
flow, hydraulic resistance, equivalent diagram technique) and
microfluidic processes (diffusion, surface tension, chemical
separation, ion transport in electrolytes, and mixing of chemical
solutions). In the second part of the course you will learn how
simple lab-on-a-chip systems are designed and fabricated, e.g., by
use of polymer-based rapid prototyping. Moreover, chemical and
optical detection systems, in particular fluorescence techniques
and wave guides are described. In the third and last part of the
course you will study how biological samples are handled in
microsystems, in particular on-chip analysis of cells and genetic
analysis on DNA-chips. During the problem sessions of the course
you will obtain skills in solving problems based on actual
experimental data, and you will get an impression of the different
applications of lab-on-a-chip systems that are developed at
Nanotech in collaboration with industry and other university
departments. 
",,"
Niels Bent Larsen,
Noemi Rozlosnik"
33250 , Semiconductor Technology,English , 5 ECTS , 2016/2017 ,F3B (Fri 13-17),MSc,Department of Micro and Nanotechnology,"
To teach you to use and evaluate available processes for
fabrication of integrated circuits and semiconductor devices and
understand the equipment and the methods used in fabrication. Based
on this knowledge, make detailed process descriptions for the
fabrication of integrated circuits, semiconductor devices, and
Microsystems and evaluate the results of the processing and
understand the connection between the physical models used and the
fabrication procedure used. In the course a practical exercise in
the DANCHIP cleanroom is included. 
","Use analytical – linear or nonlinear - modelling for a first
optimization iteration of a process sequence development and use
analytical modelling to assist interpretation of numerical
modelling results Account for the fascinating interaction between diffusion,
oxidation, and nitridation mediated by point defects, and predict
the results of these effects on a fabrication process Account for how deposition process parameters affect film
properties including step coverage and trench filling, and use this
understanding to optimize deposition process parameters to meet
target specifications if at all possible Account for how etch process parameters affect the etch
performance including selectivity and anisotropy and based on this
tailor the etch parameters for target specifications Account for how silicon crystal growth conditions affect the
material parameters and interfere with further processing of the
wafers, and based on this knowledge select the proper starting
wafers for an application Account in detail for the physics and photo-chemistry of UV
lithography and be able to use this knowledge to optimize the
lithography process even in the case of image reversal
processing Choose the proper doping method for a specified application and
understand in detail the consequences of the choice in terms of
thermal budget, defects, possible doping level, and control Describe the complexity of packaging of microsystems","
Physics and chemistry of semiconductor process technologies,
including: Crystal growth, epitaxy, thin film technology, low
pressure CVD, thermal oxidation, solid state diffusion, ion
implantation, wet and dry etching, micro lithography,
encapsulation, and electrical and physical evaluation of materials.

","33255,33253","
Ole Hansen,
Flemming Jensen"
33253 , Micro 1: Solid,English , 10 ECTS , 2016/2017 ,"F2 (Mon 13-17, Thurs 8-12)",BSc,Department of Micro and Nanotechnology,"
Solid-state devices made using micro technology are used in a broad
range of products ranging from the transistor in a computerchip to
the air bag sensor in a car.

The goal of this course is to give you an understanding of how
these solid-state devices work and how they are made. When you have
followed this course, you will be able to design a simple
fabrication process for a solid-state device (for example a bipolar
transistor or an air bag sensor) and to calculate the current
voltage relationship. You will be able to do this both analytically
and with the help of computer aided design and simulation tools. 
","Describe the crystal structure for silicon, explain the concept
of energy band diagrams, Fermi-level, electrons & holes and
calculate carrier concentrations as function of doping level and
temperature Explain ambipolar transport (drift, diffusion, generation,
recombination) Calculate mobility/diffusion constant, electric current,
resistivity and conductance of a conductor using analytical methods
and by using the finite element program COMSOL Explain how solid-state devices can be fabricated Explain how different solid-state devices (diodes, MOS
structures, MOSFETs, bipolar transistors and piezoresistive
components) work Derive and calculate current-voltage characteristics for diodes
and transistors Calculate threshold voltages, currents and CV curves for MOS
structures and MOSFETs Describe the use of piezoresistive devices Explain the piezoresistive effect based on application of
tensors Derive and calculate voltage-pressure/​acceleration
characteristics for piezoresistive sensors Use the finite element program COMSOL to calculate stress in
micromechanical structures Apply ""reverse engineering"" to find out how devices
have been made","
This course covers introductory solid-state physics in a degree
sufficient to allow an understanding of different devices. The
topics are:

· Crystal structure

· Electrons and holes in intrinsic and doped semiconductors

· Energy band diagrams and energy band gaps

· Transport mechanisms: drift and diffusion, injection and
recombination

· Piezo resistivity

The working principle and fabrication process for a range of
solid-state devices will be described. This includes the:

· pn junction diode

· Bipolar transistor

· Metal-semiconductor junction

· MOSFET

· Piezo resistive devices (i.e. pressure and airbag sensors)

· Capacitive sensors

To be able to design devices the course also covers the use of
computer-based tools for design and simulation of solid-state
devices. A series of laboratory exercises is dedicated to
characterisation of devices.

The course also covers introductory micro technology to a degree
sufficient to allow for design of simple process recipes for
solid-state devices:

· Epitaxy

· Photolithography

· Wet and dry etching

· Thermal oxidation

· Diffusion and ion-implantation

· Thin film deposition

· LPCVD processes

In the final part of the course you will work more closely with a
given device and write a report that describes how the device works
and how it could be made. During this part of the course you will
perform measurements on the device, take it apart to figure out how
it is made and you can also use computer aided design and
simulation. 
",,"
Erik Vilain Thomsen,
Mads Brandbyge"
33255 , Fabrication of Micro,English , 5 ECTS , 2016/2017 ,E3A (Tues 8-12),BSc,Department of Micro and Nanotechnology,"
Devices and sub-systems fabricated using nano- and
micro-fabrication techniques are used in an increasing number of
modern products ranging from airbag sensors for cars to the
processor in computers. The functionality of these products is
critically dependent on the micro- and nano-devices.

The overall aim of the course is to enable you to select relevant
processes and to design a fabrication process for silicon based
micro and nanofabrication using the methods available in for
example the DTU cleanroom DANCHIP and in commercial cleanrooms. 
","Explain the principles behind the basic lithographic processes
(including UV lithography, e-beam lithography and nanoimprint
lithography), field of use and limitations Explain the basic principles behind the processes used for
planar processing (including diffusion, metallisation and wet and
dry etching) Calculate relevant process parameters (e.g. time, temperature
or pressure) based on the underlying theory (e.g thermal oxidation
of silicon, ion implantation, diffusion, electron scattering and
interaction between radiation and matter) Specify detailed process recipes for fabrication of micro and
nano systems Select the most suitable process technology for a given task
based on technical and economical considerations Use the ATHENA process simulator to predict the result of and
optimise a silicon based fabrication process Explain technical and fundamental limitations for the
fabrication processes used Use the kinetic gas theory to calculate process parameters
(e.g. flux of molecules, mean free paths) To use English to communicate and discuss the course
content","
In the course the physics, chemistry, and technology of the
fabrication processes used is described:

·Lithography: UV-microlithography, e-beam nanolithography, and
nano-imprint

·Pattern-transfer: etching, lift-off

·Thin film processes: CVD, PVD, spin-on

·Substrate-materials: Silicon and Silica

·Material modification: Ion-implant and doping-diffusion, annealing

·Bonding: anodic bonding, fusion bonding

·Process integration

·Process simulation

You will learn to use a modern process simulator (ATHENA -
www.silvaco.com) which will allow you to perform advanced
computation.

In the final part of the course you work in teams on making a
process flow for a device that the team can freely choose and
present. 
",,"
Erik Vilain Thomsen,
Anders Kristensen"
33257 , Visualisation of Micro and Nano Structures,Danish , 5 ECTS , 2016/2017 ,F5A (Wed 8-12),BSc,Department of Micro and Nanotechnology,"
Micro- and nanostructures are central elements in a long range of
research and industrial projects and products.

The goal of this course is to give you an overview of methods for
visualisation of these structures and to understand the underlying
physics.

With this knowledge you will be able to choose the best suited
techniques for a given task and to diagnosticate and further
develop these visualisation techniques.

Furthermore, you will be able to interpret the informations
provided by these techniques. This can both be in the form of a
shape of the sample (topography) and its material properties. 
","Summarise advantages and disadvantages of optical microscopy
(OM) Summarise advantages and disadvantages of Scanning Electron
Microscopy (SEM) and Transmission Electron Microscopy (TEM) Summarise advantages and disadvantages of Atomic Force
Microscopy (AFM) and Scanning Tunneling Microscopy (STM) Explain the operational principle, underlying physics and the
limitations of the above mentioned methods Calculate and evaluate metrological aspects of data generated
using the above mentioned methods Analyse and interpret data generated using the above mentioned
methods Compare properties and relate characteristics of the above
mentioned methods Select the appropriate visualization methods for a given
application","
The course covers the most important methods for visualisation of
micro and nano structures used at DTU and associated companies.

The topics are:

· Optical Microscopy (OM)

· Scanning Electron Microscopy (SEM)

· Transmission Electron Microscopy (TEM)

· Scanning Tunneling Microscopy (STM)

· Atomic Force Microscopy (AFM)

The methods are introduced in dedicated hands-on exercises. You
will get access to state-of-the-art equipment for visualization
purposes. This will contribute to the understanding of the methods.

Furthermore, you will present and evaluate a scientific article and
its use of visualization methods. 
",,"
Rodolphe Marie,
Sebastian Horch,
Jakob Birkedal Wagner,
Christian Danvad Damsgaard"
33281 , Biomaterials,English , 5 ECTS , 2016/2017 ,F4B (Fri 8-12),MSc,Department of Micro and Nanotechnology,"
The course will give you a broad introduction to the physical,
chemical, and mechanical requirements of a biomaterial to be used
inside or outside the human body, and provide you with a knowledge
foundation for choosing and optimizing biomaterials for selected
biomedical applications. Examples will include hard biomaterials
(e.g. for bone replacement), soft biomaterials (e.g. for heart
valve replacement), and ultra-soft biomaterials (e.g. for cell
scaffolds in tissue engineering), with intended applications in the
body or for laboratory use. 
","Describe common immediate, early, and late body responses to
implanted materials Describe and compare the mechanical properties of different
classes of biomaterials Describe processes to shape different classes of
biomaterials Explain and exemplify how surface engineering of biomaterials
can enhance or reduce their interaction with living cells Discuss common degradation mechanism of biomaterials and
possible associated adverse effects on living systems Describe methods to minimize the risk of implant-related
infections and discuss their possible adverse influence on
biomaterials properties Describe selected requirements for approval of a biomaterial
for clinical use Analyze the physical, chemical, and mechanical requirements of
a biomaterial for a specific biomedical application Design a biomaterials based solution to a biomedical problem by
combining a requirement analysis with knowledge on biomaterials
properties and processing Assess and report on the pros and cons of a biomaterials based
device","
The fundamental materials science aspects of biomaterials,
including manufacture, structure, and properties, will be reviewed
in close connection with practical operation, performance and
failure mechanisms of biomedical devices and implants. Man-made
materials (metals, ceramics, polymers) as wells as biological
materials will be considered.

We will survey the many adverse effects that the introduction of a
foreign material can induce in the body, including toxicity,
immunological responses, and infection. This knowledge will be an
outset for discussing how to maximize functionality and minimize
adverse effects by proper choice of the biomaterial itself, design
of the device shape and structure, and modification of its surface
properties. Problem-based assignments will be based on examples of
real-world devices in use or under development. Their current
application and potential need for improvement will be discussed by
guest lecturers from industry.

Biomaterial stability and degradation mechanisms will be described.
Examples will show how understanding and control of the degradation
processes are equally important whether biomaterial degradation is
needed as in a cell scaffold for tissue engineering or unwanted as
in a permanent implant.

The clinical use of biomaterials requires prior evaluation and
approval by medical authorities. We will consider selected
requirements in more detail and discuss how they may delay or even
prevent the introduction of new biomaterials for actual clinical
application. 
","33481,41650,KU001,41015,KU011,27002","
Kristoffer Almdal,
Seunghwan Lee,
Niels Bent Larsen"
33321 , Nano,English , 10 ECTS , 2016/2017 ,"E1 (Mon 8-12, Thurs 13-17)",MSc,Department of Micro and Nanotechnology,"
In the course you will learn how to use your basic knowledge of
physics to analyse and design nanosystems, and to evaluate how they
can be used in practice. You will learn how the different physical
properties of nanostructures can be exploited to find better
technological solutions. 
","Analyse the conductivity of a nanomaterial based on THz
spectroscopic data Calculate mechanical (strength, stiffness) and surficial
(adhesion, friction) properties of carbon nanomaterials from simple
considerations regarding chemical bonds. Derive electronic properties (band structure and transport) of
carbon nanomaterials Analyse how a biological field effect transistor (BIO-FET) can
be used in biological analyses and evaluate the governing
parameters Analyse the behaviour of DNA molecules confined in nanofluidic
channels Describe optothermal actuation in nanofluidic devices Describe properties of metamaterials Analyse the properties of surface plasmonic
polaritons","
In this course you learn about nanosystems; how they work and how
they can be applied in practice.

We define a ""nanosystem"" as a device that depends on part
of the system to be a nanostructure or nanostructured. To be able
to design and create a nanosystem, you will work with the physical
properties of the nanostructures as well as their function when
integrated in a system.

The course is closely connected to today's and future
applications of nanotechnology within the key areas of (1)
carbon-based nanosystems, (2) mechanical and biological
nanosystems, (3) nanooptical systems and (4) nanofluidic systems
and also touch upon nano-safety issues.

The course is a dynamic and interactive combination of lectures,
discussions, small projects and exercises, where you will be
challenged in many different ways.

Through six home assignments you will work closer with the
material, and familiarise yourself with sometimes complex problems
of nanosystems engineering. 
",,"
Peter Bøggild"
33323 , Nano,English , 5 ECTS , 2016/2017 ,F1B (Thurs 13-17),BSc,Department of Micro and Nanotechnology,"
The course aims at providing you with a general and broad
introduction to the multi-disciplinary field of nanotechnology.

The course covers foundations, applications and emerging
technologies:

You will acquire the basic knowledge of the physical phenomena,
theoretical concepts and experimental techniques behind the recent
vastly improved ability to observe, fabricate and manipulate
individual structures on the micro- and nanometre scale.

Another aim of the course is to make you familiar with rapid
development and state-of-art of emerging nanotechnologies, often
exemplified with cross disciplinary systems such as biosensors. But
also with concerns about the rapid development, and in this respect
issues such as the human and ecotoxicological aspects of
nanotechnology are also discussed.

Finally the course will introduce you to the many real life
applications and issues of nanotechnology i.e. the use of
nanotechnology within areas such as chemistry, biology and
medicine, often found in daily life products. 
","Describe and explain what nanotechnology is Define and present nano scale physics, and make basic estimates
of sizes and effects in nanotechnology Explain the features of selected nanodevices- and materials and
present examples Explain the key nanoscale phenomena and select appropriate
experimental approaches to study them Describe how to fabricate or synthesize nanoscale structures
and the limitations of different techniques Explain how nanotechnology can be used in biological and
medical research and development Explain the main concerns about nanotoxicological effects and
environmental effects of nanostructures Write a scientific report with appropriate references and
citations on cutting edge nanotechnology applications Present and defend the report in the class, and evaluate other
reports","
During the first half of the course you will get an introduction to
nanoscale phenomena, fundamental theoretical concepts and
experimental techniques in nanotechnology.

On the atomic scale the laws of nature are governed by quantum
physics. You will get acquainted with the necessary quantum theory
on a very basic level, and you will use this to analyze and
understand characteristic nano-scale phenomena.

Central topics will be nanoscale materials, micro- and
nanolithography, used in the fabrication of nanostructures, and the
design and applications of various electron microscopes (SEM and
TEM), scanning probe microscopes (SPM).

In the second half of the course the focus is directed to
application of nanoscale phenomena in products, e.g. sensors and
functional surfaces being some examples. Some examples within the
biochemical and pharmaceutical fields will be given, fx bio-chip
based DNA-analysis.

During the course you will participate in a series of simple hands
on experiments, demonstration various nanoscale phenomena. 
",,"
Kristian Mølhave,
Sokol Ndoni"
33334 , Molecular diagnostics,English , 5 ECTS , 2016/2017 ,F4A (Tues 13-17),MSc,Department of Micro and Nanotechnology,"
The objective of the course is to give students an insight into
molecule diagnostics. This includes understanding the medical
problem, the molecular methods used for diagnostics, limitations of
the methods and to some extent introduction of novel methods. 
","Describe molecular methodologies used in molecular diagnostics
such as PCR, real time PCR, sequencing, next generation sequencing,
microarrays, digital methods and laboratory automation. Explain how molecular diagnostics is used to solve a clinical
problem Identify weaknesses and limitations of methodologies for
diagnostics Summarize current and future technologies for viral, cancer and
genetic diagnostics Summarize current and future technologies for lab
automation Describe how molecular diagnostics is enhancing treatment and
is preventing diseases Select suitable experimental designs depending on methodology
and biomedical problem Solve tasks related to different methodologies To present scientific material in a clear and precise report
and posters Be able to design a molecular assay including primers and
probes, and validation","
With the increased biological knowledge about, e.g., the human
genome and the association between genes and diseases, molecular
diagnostics is becoming an increasingly important tools for the
health sector. The current situation in the analysis laboratories
will be evaluated, highlighting techniques as well as demands.

The course is divided into fours parts where part one deals with
viral diagnostics and associated techniques. Here the basic
concepts of using virus specific genes as biomarker for detecting
viruses is introduced. Genetic diseases, genome wide and disease
gene specific analysis is taught in second part. In the third part,
cancer diagnostics and associated techniques are taught. The course
focus on how molecular diagnostics is used to decide which drugs a
cancer patient has benefit of - something that is called precision
medicine. Finally, the fourth part deals with how biomarkers are
found using high throughput techniques. This part also cover
laboratory automation. 
","27231,27232","
Martin Dufva"
