COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
34020 , Optics and Photonics,English , 5 ECTS , 2016/2017 ,F1B (Thurs 13-17),BSc,Department of Photonics Engineering,"
The course provides a broad introduction to both classical and
modern optics and photonics. The aim is that the students obtain a
physical understanding of what light is, how it interacts with
matter, and how light is used in measurement techniques and
information technology. 
","Identify whether a ray optics, a scalar wave optics, an
electromagnetic wave optics, or a photon optics description is
required in a given situation Derive the wave equation from Maxwell’s equations in a medium
and understand the different solutions and their characteristic
properties Describe the superposition principle and apply it to
electromagnetic waves Describe the concept of interference and calculate the
properties of different interferometric systems Explain Fourier analysis of optical waves Explain the concept of polarization, describe several
polarization states of light and how they can be generated and
transformed Describe and calculate the propagation of light in simple
optical waveguides in terms of modes, dispersion relation and
effective index Explain the concepts of Fraunhofer and Fresnel diffraction and
calculate the diffraction patterns of different apertures Derive the Fresnel equations and describe how light is
transferred at an interface of two materials, and through
multilayer films Describe the interaction between light and matter and explain
the basic principles of a laser Apply and recognize professional terminology in
English","
The following concepts and phenomena, and some of their most
important applications: Light rays, Maxwell wave equations, vector
fields and polarization properties, wave diffraction, wave
interference and superposition of waves, Fresnel relations,
periodic media and multilayers, waveguide optics, optical
resonators, light-matter interactions, laser amplification and
lasers 
","10013,31400,10036,10009","
Martijn Wubs"
,,,,,,,,,,,,
34021 , Introduction to Optics and Photonics,Danish , 5 ECTS , 2016/2017 ,F1B (Thurs 13-17)  or  E2B (Thurs 8-12),BSc,Department of Photonics Engineering,"
The course provides a broad and fundamental introduction to
classical optics. The aim is to give the student an understanding
of the physics behind both the ray description and wave description
of light. The course is divided into three areas: 1) Light sources,
how light is measured and characterized and how the human eye will
experience light. 2) Geometrical optics in mirrors, lenses and
materials. 3) Polarization, interference and diffraction of light. 
","Calculate and measure the radiometric and photometric
parameters for light generally Design and characterize optical light sources with regards to
color and radiation Use the Fresnel’s equations to calculate energy relations of
light propagating through an interface between two dielectric
media Describe the principle of propagation of light in an optical
wave guide Calculate paraxial ray matrices to describe simple as well as
complex optical systems Discuss the different aberrations and the influence of
apertures on imaging systems Discuss optical principles behind ray tracing software Discuss the functionality of the eye Describe polarization and the different states of polarization
with the Jones matrices, and discuss how polarized light can be
generated Discuss the concept of interference and coherence, and
calculate properties of different interferometric systems Discuss the influence of diffraction on optical systems, and
its application (e.g. spectroscopy) Insight into real-life applications of optics and photonics –
and innovative ways to bring these to the market in medical
devices, communications, and other industries","
The following concepts and phenomena, and some of their most
important applications: Radiometry, photometry, colorimetry,
incoherent and coherent light sources, optical detection, Fresnel’s
equations, ray optics, ray-tracing, paraxial ray optics, optical
aberrations, polarization, interference, Michelson interferometry,
Fabry-Perot interferometry, coherence, optical coherence
tomography, diffraction, spectroscopy 
","31400,10036,34120,10020","
Michael Linde Jakobsen"
,,,,,,,,,,,,
34029 , Physics Project,Danish , 10 ECTS , 2016/2017 ,Fall and January  or  Spring and June,BSc,Department of Photonics Engineering,"
To perform a larger experimental or theoretical project on your
own. without knowing the result on beforehand. 
","find and select relevant literature search out additional information from researchers/PhD students
working in the field (who may act as a consultant during the
project) limit the field of interest based on objective and professional
criteria, including argumenting (with help from the teacher) for
new sides of the subject and relating the projects objective to
existing research in the field formulate aims and methods for the project that are suitable in
both scope and complexity plan the project set up realistic work- and time-plan and adjust this plan to
encompass changes in the project perform sober and systematic work within experiment or theory,
e.g. by building one's own experimental setup / coding a
simulation / acquiring measured or simulated data / treat data
/ relate data to the aims of the project and adjust the project
to upcoming experimental or theoretical problems interpret, judge and sum up the results, and present results by
means of suitable graphs / tables write a well-structured and well-documented report that
conforms to the formal rules as described on the course's
homepage orally present methods and results at the
""fagprojektdag"" in such a way that it is intelligible to
the other students in the course carry out a project in all phases from planning through
completion to presentation independently","
Project: Subjects with relation to the research activities at the
Department of Physics, Department of Micro- and Nanotechnology or
the Department of Photonics are offered, and the students choose
among these. 
",10030,"
Morten Bache"
,,,,,,,,,,,,
34031 , Applied Mathematics for Physicists,English , 5 ECTS , 2016/2017 ,F3A (Tues 8-12),BSc,Department of Photonics Engineering,"
To introduce concepts, tools and methods from applied mathematics
to technical physics students. 
","determine whether an equation is linear or nonlinear and
understand the difference between the two kinds of systems solve linear ordinary differential equations with Laplace
transformation and impulse response solve linear partial differential equations with Fourier
transformation and understand the relation between a function and
its Fourier spectrum solve linear partial differential equations with Green's
function derive the properties of Sturm-Liouville oprators and
Sturm-Liouville eigenvalue problems solve linear partial differential equations using separation of
variables solve singular linear ordinary differential equations using
Frobenius' method know Bessel's equations and be able to use Bessel
functions derive the Euler-Lagrange equations and understand the concept
of calculus of variations and Hamilton's Principle for
multi-dimensional systems with several variables apply the Rayleigh-Ritz variational technique to find the
ground state eigenfunction and eigenvalue of atomic systems apply the collective coordinate variational approach to find
and analyse solutions to nonlinear partial differential
equations","
Fourier- and Laplace integral transformations. Sturm-Liouville
problems and special functions. Bessel functions. Green's
function. Calculus of variations.

In the 5 larger projects you will use the techniques you have
learned to analyse

electrical circuits, Bose-Einstein Condensates, optical fibers,
electromagnetic

wave propagation, nonlinear crystals, laser beams, and free
electrons. 
","01005,10020,10036","
Ole Bang"
,,,,,,,,,,,,
34032 , Optical Properties of Solids,English , 5 ECTS , 2016/2017 ,E1B (Thurs 13-17),MSc,Department of Photonics Engineering,"
This course, formerly called Modern Photonics, is about the way
light interacts with solids. The aim is to give you a broad and
up-to-date perspective on the optics of solids, and to introduce
you to exciting present-day research and engineering topics in
optoelectronics, using the 2010 edition of a well-written book.
Fundamental principles of absorption, reflection, luminescence and
light scattering will be discussed for a wide range of materials,
including crystalline insulators and semiconductors, glasses,
metals and molecular materials including graphene. Different
optical properties of bulk and nanometer-sized structures are
introduced. Classical and quantum models are used where
appropriate, and theory goes hand in hand with discussions of
experiments and modern applications. Among the topics introduced
are quantum wells and dots, nanoplasmonics and metamaterials, and
color centers.

Furthermore, this course gives a good background (but is not a
prerequisite) for Nanophotonics and Quantum Optics, and is
completed by the course Applied Photonics that focuses on lasers
and optical detectors. 
","Derive the Kramers-Kronig relations for linear dielectric
response Interpret band structure diagrams of semiconductors and relate
them to optical properties Explain the concept of an exciton, the difference between
Wannier-Mott and Frenkel excitons, and give examples Describe different types of luminescence and explain the basics
of LEDs and diode lasers Explain what is quantum confinement, and explain the
differences in optical properties of structures confined in 1D, 2D
and 3D. Discuss applications of quantum wells and dots Analyze how well the Drude model describes the measured
reflectivity of a metal, explain limitations of the model. Describe
the properties of surface plasmon polaritons Describe the electronic properties of molecular materials and
graphene and derive their optical properties. Identify the
differences between graphene and conventional 2D
semiconductors Explain what is a luminescence center, describe several types,
give examples of their occurrence in nature and their use in
optoelectronic devices Explain how infrared spectra are influenced by phonons, and
discuss Brillouin and Raman light scattering Calculate and solve exercises directly related to the presented
optical theory of solids, thereby showing feeling for the typical
length, frequency and time scales involved Work actively in small groups, prepare a presentation about a
core element of the course, and evaluate the presentations by your
peers","
Electromagnetism in dielectrics and metals, complex refractive
index, Kramers-Kronig relations, classification of optical
materials, absorption, dipole oscillator model of a solid,
dispersion, anisotropy, chirality. Semiconductors, band structure,
interband transitions in direct and indirect gap materials, spin
injection, photodetectors. Wannier-Mott and Frenkel excitons.
Luminescense, photoluminescence, electroluminiscence, basics of
LEDs and diode lasers. Quantum confinement, quantum wells, quantum
well excitons and emission. Quantum dots as artificial atoms,
basics of their synthesis and optical properties. Drude model for
metals and doped semiconductors. Metals: free-carrier reflectivity,
interband transitions, plasmons, basics of surface plasmon
polaritons and negative refraction. Molecular orbitals, optical
spectra of molecules. Carbon nanostructures and graphene.
Luminescence centers, paramagnetic ions and color centers, NV
centers in diamond. Phonons, infrared-active phonons, phonon
polaritons, Raman and Brillouin scattering. 
","34033,10036,10303,10102","
Martijn Wubs,
Nicolas Stenger"
