COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
10018 , Physics 1,English , 10 ECTS , 2016/2017 ,E3A (Tues 8-12) and F3A (Tues 8-12),BSc,Department of Physics,"
To introduce the student to the basic concepts of mechanics and
thermodynamics, and enable the student to solve idealized
mechanical, thermodynamical and technical problems. Furthermore the
student receives practice in using idealized models to describe
real systems through cases. 
","Apply the kinematic concepts position, velocity, and
acceleration, and recognize important types of motion such as
projectile motion and circular motion. Identify forces and sketch free body diagrams for simple
mechanical systems consisting of particles and rigid bodies. Apply Newton's laws for translation and rotational motion
to simple mechanical systems consisting of particles and rigid
bodies. Compute the work and impulse of a force and apply the
work-energy theorem to simple mechanical systems. Formulate the principles of conservation of momentum, angular
momentum and mechanical energy and apply these principles to simple
mechanical systems. Apply the continuity equation and Bernoulli's equation to
simple stationary flows. Compute thermal expansion and carry out caliometric
calculations. Apply the ideal gas equation to determine pressure,
temperature, volume, and number of moles, and compute microscopic
properties of molecules. Explain the first and second laws of thermodynamics. Recognize simple thermodynamical processes (isochoric,
isobaric, isothermal, and adiabatic processes) and compute work
done and heat transfer for processes (including cyclic processes)
composed of these. Perform error analysis including propagation of
errors.","
Motion in 1+2+3 dimensions. Newton's laws. Work and kinetic
energy. Potential energy and energy conservation. Momentum and
collisions. Rotation of rigid bodies. Dynamics of rotational
motion. Equilibrium and elasticity. Gravitation. Periodic motion.
Fluid mechanics. Temperature and heat. Thermal properties of
matter. The first and second law of thermodynamics. 
",None,"
Carsten Knudsen,
Brian Seger,
Rasmus Bjørk,
Luise Theil Kuhn"
,,,,,,,,,,,,
10020 , Physics 1,Danish , 10 ECTS , 2016/2017 ,E1B (Thurs 13-17) and F1B (Thurs 13-17),BSc,Department of Physics,"
To introduce the student to the basic concepts of mechanics and
electric charge and field and magnetism, and enable the student to
solve idealized problems. Furthermore the student receives practice
in using idealized models to describe real systems through project
work. 
","Apply the kinematic concepts position, velocity, and
acceleration, and recognize important types of motion such as
projectile motion and circular motion. Identify forces and sketch free body diagrams for simple
mechanical systems consisting of particles and rigid bodies. Apply Newton's laws for translation and rotational motion
to simple mechanical systems consisting of particles and rigid
bodies. Compute the work and impulse of a force and apply the
work-energy theorem to simple mechanical systems. Formulate the principles of conservation of momentum, angular
momentum and mechanical energy and apply these principles to simple
mechanical systems. Apply the continuity equation and Bernoulli's equation to
simple stationary flows. Compute electrostatic forces, fields, and potentials in
connection with simple and/or symmetric charge distributions. Describe the capacitance in connection with electrical energy
and the influence of dielectrica. Compute magnetic forces and fields in connection with simple
and/or symmetric charge distributions.","
Motion in 1+2+3 dimensions. Newton's laws. Work and kinetic
energy. Potential energy and energy conservation. Momentum and
collisions. Rotation of rigid bodies. Dynamics of rotational
motion. Equilibrium and elasticity. Gravitation. Periodic motion.
Fluid mechanics. Electric charge and electric field. Magnetism. 
",None,"
Jesper Lægsgaard,
Carsten Knudsen"
,,,,,,,,,,,,
10022 , Physics 1,Danish , 10 ECTS , 2016/2017 ,E1A (Mon 8-12) and F1A (Mon 8-12),BSc,Department of Physics,"
To introduce the student to the basic concepts of mechanics and
thermodynamics, and enable the student to solve idealized
mechanical, thermodynamical and technical problems. Furthermore the
student receives practice in using idealized models to describe
real systems through project work. 
","Apply the kinematic concepts position, velocity, and
acceleration, and recognize important types of motion such as
projectile motion and circular motion. Identify forces and sketch free body diagrams for simple
mechanical systems consisting of particles and rigid bodies. Apply Newton's laws for translation and rotational motion
to simple mechanical systems consisting of particles and rigid
bodies. Compute the work and impulse of a force and apply the
work-energy theorem to simple mechanical systems. Formulate the principles of conservation of momentum, angular
momentum and mechanical energy and apply these principles to simple
mechanical systems. Apply the continuity equation and Bernoulli's equation to
simple stationary flows. Compute thermal expansion and carry out caliometric
calculations. Apply the ideal gas equation to determine pressure,
temperature, volume, and number of moles, and compute microscopic
properties of molecules. Explain the first and second laws of thermodynamics. Recognize simple thermodynamical processes (isochoric,
isobaric, isothermal, and adiabatic processes) and compute work
done and heat transfer for processes (including cyclic processes)
composed of these.","
Motion in 1+2+3 dimensions. Newton's laws. Work and kinetic
energy. Potential energy and energy conservation. Momentum and
collisions. Rotation of rigid bodies. Dynamics of rotational
motion. Equilibrium and elasticity. Gravitation. Periodic motion.
Fluid mechanics. Temperature and heat. Thermal properties of
matter. The first and second law of thermodynamics. 
",None,"
Carsten Knudsen,
Michael Brix Pedersen"
,,,,,,,,,,,,
10024 , Physics 1,Danish , 10 ECTS , 2016/2017 ,E5A (Wed 8-12) and F5A (Wed 8-12),BSc,Department of Physics,"
To introduce the student to the basic concepts of mechanics and
thermodynamics, and enable the student to solve idealized
mechanical, thermodynamical and technical problems. Furthermore the
student receives practice in using idealized models to describe
real systems through project work. 
","Apply the kinematic concepts position, velocity, and
acceleration, and recognize important types of motion such as
projectile motion and circular motion. Identify forces and sketch free body diagrams for simple
mechanical systems consisting of particles and rigid bodies. Apply Newton's laws for translation and rotational motion
to simple mechanical systems consisting of particles and rigid
bodies. Compute the work and impulse of a force and apply the
work-energy theorem to simple mechanical systems. Formulate the principles of conservation of momentum, angular
momentum and mechanical energy and apply these principles to simple
mechanical systems. Apply the continuity equation and Bernoulli's equation to
simple stationary flows. Compute thermal expansion and carry out caliometric
calculations. Apply the ideal gas equation to determine pressure,
temperature, volume, and number of moles, and compute microscopic
properties of molecules. Explain the first and second laws of thermodynamics. Recognize simple thermodynamical processes (isochoric,
isobaric, isothermal, and adiabatic processes) and compute work
done and heat transfer for processes (including cyclic processes)
composed of these.","
Motion in 1+2+3 dimensions. Newton's laws. Work and kinetic
energy. Potential energy and energy conservation. Momentum and
collisions. Rotation of rigid bodies. Dynamics of rotational
motion. Equilibrium and elasticity. Gravitation. Periodic motion.
Fluid mechanics. Temperature and heat. Thermal properties of
matter. The first and second law of thermodynamics. 
",None,"
Carsten Knudsen,
Peter Christian Kjærgaard Vesborg,
Rasmus Bjørk,
Kaspar Kirstein Nielsen"
,,,,,,,,,,,,
10031 , Introduction to Physics and Nanotechnology,Danish , 10 ECTS , 2016/2017 ,E1A (Mon 8-12) and F1A (Mon 8-12),BSc,Department of Physics,"
The overall goal is to give Physics and Nanotechnology students an
engineerwise perspective on their bachelor education. This is
obtained by working with a number of topics within physics and
nanotechnology at DTU. Additionally, it is a goal to train a
correct measurement method in the laboratory, and finally it is a
goal to train working in groups and writing reports. 
","Explain the underlying physics for the following subjects:
x-rays and the inner structure of mattter, ultrafast optical
pulses, hydrodynamics and lab-on-a-chip technology, accelerometers,
semiconductor nanostructures, and graphene/2D materials. Conduct simple calculations of important quantities within the
subjects mentioned above. Discuss the research and technology related perspectives of the
subjects mentioned above. Conduct laboratory exercises and document understanding of how
to work in the laboratory and how to perform experiments. Interpret results - theoretical and experimental - and discuss
these in relation to the overall subject. Present and communicate results from measurement and/or
simulations, including knowing how to write a well structured and
well documented report. Process measured or calculated data, and evaluate them
critically. Participate constructively in group work, and use the
competences of the entire group. Apply modern software to data processing and computer
simulations.","
The course contains a number of condensed 4-week sections - each
with its own topic - in the 13-week periods. Each section is
planned and taught by an expert within the specific topic, and
contains both research and technology/engineering aspects. The
sections are taught by: Departments of Physics, Micro- and
Nanotechnology, and Photonics Engineering. The sections deal with:
""seeing the invisible"", ultrafast optical pulses,
hydrodynamics and lab-on-a-chip technology, accelerometers, semi
conductor nanostructures, and graphene/2D materials. The content in
these sections will vary from year to year. 
",None,"
Kristoffer Haldrup,
Mikkel Fougt Hansen,
N. Asger Mortensen"
