COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
27002, Life Science,Danish , 5 ECTS , 2016/2017 ,E1B (Thurs 13-17),BSc,Department of Systems Biology,"
The students should based on the cell acquire a basic understanding
of biological processes, which are used in the industry.
Consequently, the students will acquire knowledge about the cell
structure, their biological functions, biochemical and molecular
biological processes together with biotechnological processes. With
this background the students should be able to discuss present
biotechnological problems. 
","Describe the spatial, logistic, and structural organization of
the living cell as well as the overall mechanisms and chemical
structures behind its function. Explain how enzymes catalyse chemical reactions and how the
overall structure and composition of proteins determines their
function. Interpret results showing the effect of substrate
concentration, pH and temperature on enzyme activities, and give
examples of how both enzyme activities and metabolic pathways are
regulated. Explain how cells oxidize glucose and use the released energy
to generate ATP, and calculate the yield of ATP from oxidation of
glucose via cellular respiration as well as by breakdown by
fermentation. Account for the antiparallel double helical structure of DNA
and the chromosomal organization in pro- and eukaryotes. Describe the mechanisms for bacterial cell division and
eukaryotic mitosis and meiosis and suggest how failures in the two
later processes might lead to particular geno- or phenotypes. Describe the Central Dogma of Molecular Biology including
replication, transcription and translation, and use the principles
along with the Genetic Code to translate a DNA sequence with or
without mutations to the corresponding amino acid sequence. Describe how gene expression is regulated in pro- and
eukaryotes emphasizing the many different levels this can be
achieved on. Account for the mechanisms for interbacterial transfer of
genetic material and how a virus reproduces itself by the use of
the host reproductive system. Master the basal terms in Mendelian genetics and apply the
principles for deducing the geno- and phenotype frequencies of the
progeny of mono- and dihybride crosses. Set up strategies for manipulating living cells using
recombinant DNA technology. Suggest appropriate biotechnological tests for examining a
particular biological question and interpret the outcome of the
tests.","
The cell as basic biological unit: structure, function, metabolism,
growth, reproduction, heredity and biodiversity. The theory covers:
structure of amino acids and proteins, nucleotides and nucleic
acids, carbohydrates and lipids. Enzymes: structure, reactions,
inhibition. Dynamic biochemistry: cata- and anabolism together with
regulation of metabolism, redox processes and energy metabolism.
Synthesis of macromolecules of information: DNA and RNA, protein.
Regulation of activities in the cell e.g. synthesis of
macromolecules, responses to external stimuli. Mutation and
mutagenesis. Genetic processes in pro- and eukaryotes. Gene
technology. Examples will be given where basic biological
definitions are used in present and future biotechnology. 
",None,"
Mogens Kilstrup,
Jan Martinussen"
,,,,,,,,,,,,
27004," Health, Diseases and Technology",Danish , 10 ECTS , 2016/2017 ,E4B (Fri 8-12) and January,BSc,Department of Systems Biology,"
The course introduces the students to the bachelor program in Human
Life Science Engineering. The main objectives are: i) To give the
students a basic understanding of human pathophysiology, the
biological background of microbial infections and life-style
related diseases, such as cardiovascular diseases and diabetes, as
well as strategies for disease prevention and treatment. ii) To
introduce the student to technologies related to the development of
pharmaceuticals, functional foods, nutraceuticals and food
additives. iii) To introduce the students to team work and
efficient study techniques. iv) To introduce the students to the
oral and written communication of science. 
","Describe in general terms the processes in development of
atherosclerosis and diabetes, list the most important risk-factors
and describe strategies for prevention of the disease. Describe the content and purpose of the different steps in
development of a new pharmaceutical product. Describe the meaning of the terms “functional food” and
""nutraceuticals"" and the main groups that are available
on the international markets. Exemplify how microbial organisms can be identified and
characterized, as well as how microbial infections occur. Explain, in general terms, and give examples of the importance
of the microbiota for a person's health, hereunder explain the
terms prebiotics, probiotics and antibiotics. To construct a typical flow-sheet for an enzyme-catalyzed
production process of a plant-based food additive. Write a report based on scientific references. Communicate orally and in writing a subject within life science
research. Perform a simple literature search and extract the relevant
scientific content from scientific articles. Contribute to an efficient team work.","
The course runs through the 13- and 3-week period in January.

The 13-week period is divided in two thematic sessions, namely, i)
the human gut microbiome and microbial infections, and ii)
lifestyle diseases, such as cardiovascular diseases and diabetes.
Each thematic session will be comprised of lectures, exercises, as
wells as guest presentations by selected Danish pharmaceutical and
bioscience companies, covering human pathophysiology and
state-of-the-art technologies in the development of medicine,
functional foods, nutraceuticals and food additives for disease
prevention or therapy.

During the 13-week period, two mandatory reports have to be handed
in, which should include a summary of the lectures and exercises.

The 3-week period is divided in two parts.

During the first part, the students are introduced to enzymatically
catalysed process-development for the production of food additives.
This part concludes with a written group-based report.

During the second part, the students get the opportunity to dig
deeper into the research on the two thematic sessions of the
13-week period (the good and bad microbiome and lifestyle disease)
that is conducted in the different departments of DTU, which
contribute with courses in the bachelor program of Human Life
Science Engineering (Systems Biology, CBS, Food, Vet, Chemical
Engineering, Chemistry). This part concludes with a popular
scientific article on the chosen subject and a mini-conference. 
",None,"
Jose Maria Gonzalez-Izarzugaza,
Lasse Folkersen,
Lars Hellgren"
,,,,,,,,,,,,
27007, Biotechnology and communication,Danish , 10 ECTS , 2016/2017 ,E4B (Fri 8-12) and January,BSc,Department of Systems Biology,"
The course provides the student with insight into the working areas
of the biotechnological engineer, and the interplay between basic
biological science and applied aspects in Biotechnology. During the
course, the participants will be trained in teamwork and general
communication skills, incl. the writing of a book chapter, a
popular scientific article, creation of a poster and oral
presentations of biotechnological subjects. 
","Describe examples of the work areas of biotechnology
engineers. Identify and explain the relations between basic biological
knowledge (From the curriculum of the course Bioscience, 27002) and
applications in biotechnology. Describe and use the most important principles regarding
efficient study technique. Perform a simple literature search and extract the scientific
content from scientific articles within the biotechnological
field. Contribute to an efficient team effort. Communicate orally and in writing the most important aspects of
a biotechnological subject. Select or create illustrations that are helpful in
communicating a biotechnological topic. Design posters and PowerPoint slides.","
The course runs through the 13- and 3-week period in January.

Teaching in the 13-week period aims to create a common
understanding of what biotechnology is and how we efficiently can
communicate a biotechnological subject. The period includes the
following elements:

• Introduction to DTU’s Biotechnology bachelor education.

• Presentation by selected Danish biotechnological companies to
exemplify job opportunities for graduate biotechnology engineers.

• Introduction to the four main application areas for
biotechnology: food (green), medicine (red), industry (white) and
aqua (blue).

• Introduction to the basic molecular biological tools and
principles that form the basis for modern biotechnology. Each tool
is introduced via articles, textbook chapters, lectures and
theoretical exercise.

• Case studies within green, red, white and blue biotechnology.

• Introduction to tools for efficient oral and written
communication of scientific subjects. The tools are introduced via
textbook chapters, lectures, and group-based exercises. During the
13-week period, three mandatory assignments have to be handed in or
completed: rewrite a textbook chapter, create a poster and give an
oral presentation. Qualification to the final exam requires
completion of the three assignments.

The 3-week period offers an opportunity for the student, in teams,
to dig into a biotechnological subject guided by a research at DTU
Systems Biology. Tools for innovation and identification of
relevant literature will be introduced. For the final exam, each
team, have to hand in a popular scientific article regarding their
subject and attend a mini-conference where all teams present their
subject for each other.

Grading will be based on the popular scientific article and oral
presentation. Individual grades are awarded based on the quality of
each team members’ contribution and performance at the exam. 
",None,"
Rasmus John Normand Frandsen,
Malene Bonné Meyer"
,,,,,,,,,,,,
27008, Life Science,English , 5 ECTS , 2016/2017 ,F5B (Wed 13-17),BSc,Department of Systems Biology,"
The students should based on the cell acquire a basic understanding
of biological processes, which are used in the industry.
Consequently, the students will acquire knowledge about the cell
structure, their biological functions, biochemical and molecular
biological processes together with biotechnological processes. With
this background the students should be able to discuss present
biotechnological problems. 
","Describe the spatial, logistic, and structural organization of
the living cell as well as the overall mechanisms and chemical
structures behind its function. Explain how enzymes catalyse chemical reactions and how the
overall structure and composition of proteins determines their
function. Interpret results showing the effect of substrate
concentration, pH and temperature on enzyme activities, and give
examples of how both enzyme activities and metabolic pathways are
regulated. Explain how cells oxidize glucose and use the released energy
to generate ATP, and calculate the yield of ATP from oxidation of
glucose via either cellular respiration or breakdown by
fermentation. Account for the antiparallel double helical structure of DNA
and the chromosomal organization in pro- and eukaryotes. Describe the mechanisms for bacterial cell division and
eukaryotic mitosis and meiosis and suggest how failures in the two
later processes might lead to particular geno- or phenotypes. Describe the Central Dogma of Molecular Biology including
replication, transcription and translation, and use the principles
along with the Genetic Code to translate a DNA sequence with or
without mutations to the corresponding amino acid sequence. Describe how gene expression is regulated in pro- and
eukaryotes emphasizing the many different levels this can be
achieved on. Account for the mechanisms for interbacterial transfer of
genetic material and how a virus reproduces itself by the use of
the host reproductive system. Master the basal terms in Mendelian genetics and apply the
principles for deducing the geno- and phenotype frequencies of the
progeny of mono- and dihybride crosses. Set up strategies for manipulating living cells using
recombinant DNA technology. Suggest appropriate biotechnological tests for examining a
particular biological question and interpret the outcome of the
tests.","
The cell as basic biological unit: Structure, function, metabolism,
growth, reproduction, heredity and biodiversity. The theory covers:
structure of amino acids and proteins, nucleotides and nucleic
acids, carbohydrates and lipids. Enzymes: structure, reactions,
inhibition. Dynamic biochemistry: cata- and anabolism together with
regulation of metabolism, redox processes and energy metabolism.
Synthesis of macromolecules of information: DNA and RNA, protein.
Regulation of activities in the cell e.g. synthesis of
macromolecules, responses to external stimuli. Mutation and
mutagenesis. Genetic processes in pro- and eukaryotes. Gene
technology. Examples will be given where basic biological
definitions are used in present and future biotechnology. 
",None,"
Jan Martinussen,
Mogens Kilstrup"
,,,,,,,,,,,,
27015, Introductory Project in Biotechology / Human Life Science Engineering,Danish , 10 ECTS , 2016/2017 ,E5A (Wed 8-12) and January,BSc,Department of Systems Biology,"
By performing a review project within biotechnology, microbiology,
biochemistry, or bioinformatics, the student becomes qualified in
literature search and written and oral presentation of information.

","Perform a comprehensive literature search, to get an overview
over a specific scientific field. Choose and structure relevant literature within a scientific
field and describe this in an understandable, concise and
convincing fashion. Account for the criteria behind the selection of relevant
literature. Efficiently work together with the members of a team that has
been build from criteria of common interest. In collaboration with a supervisor plan and conduct a simple
experiment in relation to the chosen scientific field. Report experiments in ""material and methods"" and
""results"" sections of a report. Write a report, which follows all the guidelines from an
international publishing company (formats for referencing, tables,
figures, etc.). Evaluate the innovation potential in the project and include
this evaluation in the report. Report in a fashion, which takes the target group into account
(the target group is a student at the same level, with no special
knowledge). Present the purpose and execution of the project, and main
conclusions in a 1 minute pitch and present the information from a
report in a slide show. Defend the form and content of the report and slide show in
discussions with the supervisor and an internal censor. Account for the experiments from the primary literature, that
the major conclusions are build upon.","
The topic for the project is chosen from a catalogue. The students
are working in groups from four to six members. By working with the
project, knowledge about sources of information, literature search
in databases, acquisition and reading of original scientific papers
is acquired. Moreover, oral and written presentation of scientific
results is rehearsed. The course also includes a experimental
element, in which the students either collect their own data or
exploits previously obtained results, and present it in the report.

",27002,"
Claus Sternberg,
Ole Lund"
,,,,,,,,,,,,
27016, Design,English , 5 ECTS , 2016/2017 ,January,BSc,Department of Systems Biology,"
To be immersed in a problem-based engineering project and solve a
problem through teamwork. Become familiar with the engineering
process with a focus on the Design and Build (Implementation)
phases. Be motivated to think about the engineering process in the
context of cooperation in a project team. 
","Describe the innovation and engineering process Devise a project plan based on the decomposition of a larger
problem into component tasks Apply design principles to design a measurement device for
studying a living system Design and produce a measurement device using tools for
automated fabrication, e.g. 3D printing, and prefabricated sensors
and light sources Analyze data from a living system Evaluate the performance and limitations of the developed
device Describe the life-cycle of the system: assembly/installation,
standard operating procedure, maintenance, disposal Describe the value of working in a project team Communicate the project results in written and/or oral
form","
This course will introduce concepts of the engineering process and
apply some of the principles in a problem-based setting. The
problem, presented by the instructors, relates to designing and
building a device for measuring the growth of single-cell organisms
in batch cultivations. Teams will develop a project plan for the
different aspects of the build, identifying the sub-tasks and time
plan. The device will be designed and implemented for the purpose
of measuring and recording cell density in liquid culture over
time. The measurement device will measure light absorption as an
indication of cell concentration. The device will be analyzed for
its performance with respect to accuracy, precision and range of
linear detection. In addition, the device will be connected to an
online data acquisition computer. A batch cultivation of baker’s
yeast (Saccharomyces cerevisiae) will be performed and the cell
concentration will be measured either online or via sampling. Data
collected from cells growing in exponential phase will be analyzed
by the software system implemented by the team in Python, Matlab or
R. A poster or oral presentation will be used to communicate the
results of the design-build project, performance of the device, and
results of the growth experiments. 
",None,"
Christopher Workman,Martin Dufva,Erik Vilain Thomsen"
,,,,,,,,,,,,
27022, Biochemistry,Danish , 5 ECTS , 2016/2017 ,F4B (Fri 8-12),BSc,Department of Systems Biology,"
To render the student theoretically capable of the most important
areas in biochemistry. To enable the student to solve general and
biotechnological problems. 
","Describe the structures of amino acids and describe the
chemical and physical chemical principles for stabilising the
secondary, tertiary and quaternary structures of proteins. Explain the protein chemical descriptions of substrate binding,
catalysis & regulation (activation & inhibition) by use of
the concepts of specificity, affinity, induced fit, allosteric
enzymes, cooperativity, covalent modification and
reversibility. Explain the most important enzyme kinetics models and the
background for enzyme kinetics analyses. Perform calculations of Km, Vmax, kcat and Ki from enzyme
kinetics data. Describe the principles of the methods for protein
purification, determination of protein structure, amino acid
analysis and characterisation of proteins chemical and
physico-chemical properties (inclusive immunoassay
techniques). Describe how anabolic and catabolic pathways in the central
metabolism results in use of chemically bound energy and synthesis
of monomers of macromolecules. Explain type of enzyme, coenzyme, substrate and product for the
individual reactions in glycolysis, gluconeogenesis and citric acid
cycle, respectively, and the regulation of the reactions. Calculate equilibrium constants in enzyme catalysed reactions
from changes in free energy and state the direction of the reaction
in enzyme catalysed reactions. Describe the structures of carbohydrates and explain the
functions of the different types of carbohydrates in
macromolecules. In the respiratory chain, explain the transport of electrons
from NADH to oxygen, as well as the synthesis and utilization of
proton gradient across the cell membrane (uninhibited, inhibited
and uncoupled). Describe the interaction between different metabolic reaction
pathways, and with external environment of the cell. Describe the structure of lipids and the structure of cell
membrane.","
Macromolecules, membranes, and subcellular structures.
Macromolecular organization of the cell: Small biomolecules as
building blocks of proteins, polysaccharides, lipids, and nucleic
acids. Structure and function of macromolecules, the reactive
centres of enzymes, coenzymes and catalytic mechanisms, enzyme
kinetics and global regulation. Metabolic pathways of the cell:
Carbohydrate degradation and energy transfer by electron transport
and phosphorylation. Regulation of metabolic network.

Literature: J.M. Berg, J.L. Tymoczko, L. Stryer: Biochemistry 7.
Ed., 2012 
","27002,23932","
Mogens Kilstrup,
Jan Martinussen"
,,,,,,,,,,,,
27023, Experimental biochemistry,Danish , 5 ECTS , 2016/2017 ,F4A (Tues 13-17)  or  F1B (Thurs 13-17),BSc,Department of Systems Biology,"
To render the student capable of acquiring experimental knowledge
of the most important areas in biochemistry. The course exemplifies
part of the theory given in course 27022 Biochemistry. 
","A student who has met the objectives of the course will be able to:
Implement basic biochemical related laboratory work on secure manner.
Perform calculations and derive the results of measuring data correctly in relation to experimental uncertainty.
Demonstrate basic knowledge of substance groups protein, lipid and carbohydrate.
Demonstrate basic knowledge of enzyme chemistry and enzyme kinetics.
Discuss experimental results and relate them to the basic theory in biochemistry areas.
Evaluate experimental results compared to the expected.
Making an informed choice among the tested methods for solving a given problem.
Calculate the degree of purification and yield of enzymes, and / or cell body, or based on experimental data from a purification process.
Calculate apparent molecular weight of proteins, based on results of SDS-PAGE analysis.
Perform basic calculations of enzyme kinetic parameters and inhibition associated with enzyme kinetics studies.","
Biochemical, chromatographic and electrophoretic methods to study
carbohydrates, lipids and proteins. Purification of proteins and
characterization of their physical and chemical properties.
Introduction to enzyme kinetics. 
",27002,"
Maher Abou Hachem"
,,,,,,,,,,,,
