COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
23101 , Introduction to food production chains,English , 10 ECTS , 2016/2017 ,"E1 (Mon 8-12, Thurs 13-17)",MSc,National Food Institute,"
To enable the students to analyse and understand food production
chains and the interdependence of the parts of these. The focus is
on understanding the interactions between production, quality, raw
material properties and rheology as well as mass and energy
balance, process design, production planning and innovation aspects
on a basic level. 
","Analyse a food production chain and identify safety, quality
and planning issues, and the interactions between these and process
operations. Apply mass and energy balance related to the unit
operations. Apply process analysis to overview a production chain from raw
material to consumer. Define innovation and explain different innovation models. Describe the elements of an innovation process in a food
company. Describe the major parameters that influence the quality of
food. Evaluate where in the value chain optimisation in relation to
quality can be addressed. Validate solutions to practical problems using quantitative and
qualitative methods. Identify raw material properties of importance to the final
product. Make a concise oral presentation of a technical matter. Give constructive feedback to contribution from other course
participants. Write (as team-work) a technical report suitable for decision
making in a company.","
The course aims to teach the student how to understand and analyse
the basic interactions along food production chains. The
interactions concern quality and production planning all of which
must be considered as integral in order to make proper production
planning and design. Problems will be analysed and solutions
suggested by teams. Team work is central in the course, and the
teams will study cases that exemplify a wide range of common issues
in various steps associated to food production. Furthermore,
separate elements are included such as process technology,
bottlenecks and other challenges for the food industry as well as
innovation and presentation techniques. If possible, excursions
will be arranged to relevant actors in the food sector. Guest
lectures are an important part of the course. 
","23511,23711","
Susan Løvstad Holdt,
Pedro Jesús García Moreno,
Bo Munk Jørgensen"
,,,,,,,,,,,,
23102 , Food Safety in Production Chains,English , 10 ECTS , 2016/2017 ,"F2 (Mon 13-17, Thurs 8-12)",MSc,National Food Institute,"
The course will enable the student to evaluate relevant
microbiological and chemical hazards in food production chains.The
student will relate important microorganisms to their possible
roles in spoilage and diseases that can be transmitted through the
food chain to humans. Furthermore the student will calculate and
evaluate the occurrence of toxicological and chemical hazards in
foods. Through a project assignment, the student will assemble a
risk assessment and fomulate a HACCP plan, which covers the raw
materials, production methodologies and unit operations for a given
food product. 
","Describe and analyze a food production chain with regards to
potential issues of food safety and spoilage Identify relevant microbiological and chemical hazards for a
given food production Identify steps in the production chain that are critical with
regard to the hazards including current food safety
legislation Establish measures that will control the safety of the product
(apply HACCP principles) Identify and apply the key elements of chemical and
microbiological risk analysis Explain and apply the concept ADME (absorption, distribution,
metabolism and excretion) Design the risk evaluation of microbiological and chemical
hazards in the food production chain from farm to fork Assemble a concise written report and oral presentation that
covers the formulation of a risk assessment and design of a HACCP
plan for a given food product Develop competences in project based learning and group/team
work including the collective responsibility for the quality of the
final project report","
The course will provide in depth coverage of current and relevant
food safety issues with regards to microbiology, chemical hazards
and toxicology. The course will enable the students to evaluate
relevant hazards in specific food production chains, to identify
critical steps in the production, and to construct a plan to
control or mitigate these hazards. The course presents relevant
hazards in the entire food production chain from farm to fork and
includes microbiological, chemical and toxicological aspects of the
risk assessment. The various elements of risk assessment are
examined: hazard identification, exposure assessment, hazard
characterisation and risk characterisation. The student will work
through the topics through lectures, assignments, and group/project
work. 
",23101,"
Kit Granby,
Lisbeth Truelstrup Hansen"
,,,,,,,,,,,,
23151 , Aquatic Food Primary Production: Fishery and Aquaculture,English , 7.5 ECTS , 2016/2017 ,Fall,MSc,National Food Institute,"
The requirement for fish and seafood in the word is increasing.
This can either be harvest from the sea, traditionally fishery or
it can be produces trough aquaculture. These are complex systems
and productions that may interfere to each other and on to the
surrounding environment. The overall aim with the course is to give
the students the necessary basic information about fishery and
aquaculture. This should be set in overall view so the students are
able to critically evaluate the factors which are important for a
sustainable growth in the industry. 
","Describe advantages and disadvantages with the two aquatic food
primary production systems, fishery and aquaculture Determine factors for performing a sustainable fishery and a
sustainable aquaculture Analyse choice of fishing vessels and fishing gears Discuss fish welfare issues and important factors affecting
fish welfare Describe production cycles for important aquaculture
species Describe how handling of live fish affects quality after
slaughtering/harvesting Review and analyse data in a synthetic report with oral
presentation Critically analyse ""hot topics""related to aquaculture
and fisheries practices","
The students following this course will gain an overview of the
fishery and aquaculture industry in the word and more detailed in
the Nordic countries.

Within fishery topics will include overview over relevant species,
nutrient chains; fishing seasons; fishing gears function, optimal
use, affect fish quality on quality; fishing vessels; initial fish
processing, on shore or at sea; by catch/by product handling;
regulations, quotas and international agreements; structural
changes in the fish industry and sustainable fishery.

Within the aquaculture topic overview lectures will include
relevant species, anatomy and physiology, different production
systems and production cycles, water quality requirements, fish
feeding, fish breeding, fish health and diseases in aquaculture,
fish welfare, harvesting and slaughtering of fish, sustainable
aquaculture.

A project thesis should be performed where fishery and aquaculture
objects should be discussed in an overall sustainability context. 
",None,"
Charlotte Jacobsen,Odd-Ivar Lekang"
,,,,,,,,,,,,
23152 , Aquatic Food Processing and Technology,English , 7.5 ECTS , 2016/2017 ,Fall,MSc,National Food Institute,"
The objective of the course is to give the student an overview of
how processing and storage conditions influence the quality and
shelf life of aquatic food. It focuses on traditional as well as
emerging ressources. 
","Describe the muscle structure and biochemistry of fish Describe the most common processing methods for aquatic
foods Analyse how different processing technologies will influence
the quality and shelf life of aquatic foods. Discuss how storage conditions and packaging methods affect
aquatic food quality Analyse the potential of the utilisation of by-products and the
production of new ressources Describe post-mortem biochemical processes in aquatic
foods Review and analyse data about aquatic food production
processing and technology in a synthetic report with oral
presentation Critically analyse ""hot topics""related to aquatic
food production","
Students will gain an overview of how processing and storage
conditions influence the quality and shelf life of aquatic food.
The students will be given an introduction to fish muscle as a raw
material for different processing procedures. Muscle structure,
muscle biochemistry, and biochemical processes after death (rigor)
in relation to quality and processability will be reviewed. The
composition and use of by-products will also be reviewed. An
overview of different prosessing methods, both traditional and
novel, will be given. Finally packaging of fish and fish products
will be reviewed. 
",None,"
Charlotte Jacobsen,Turid Rustad"
,,,,,,,,,,,,
23153 ," Aquatic Food Supply Chain Management, Environment and Resources",English , 7.5 ECTS , 2016/2017 ,Fall,MSc,National Food Institute,"
The objective of the course is to give an introduction to the
concept sustainable development in the context of the aquatic value
chain. The concept sustainable development is introduced, dissected
and operationalised through practical examples. Principles of
transportation, logistics and supply management will be introduced
in the typical aquatic food chain to provide understanding of how
the flow of material, exchange activities, and related information
are organized, managed and controlled within and between firms.
Different objectives of supply chain management are discussed and
the value of minimizing environmental impact of the operation.
Various tools used in environmental and resource decision-making
are critically examined, such as formal decision analysis,
cost-benefit and cost-effectiveness analysis, life cycle
assessment, life cycle costing, environmental impact assessment,
green SCOR (Supply Chain Operations Reference) assessment,
environmental risk assessment and multi-criteria analysis. 
","describe basic and advanced ideas, theories and concepts of
sustainable development. compose, organize and present sustainability indicators. explain, evaluate and apply common methods used in
environmental and resource analysis as it relates to sustainable
development. Can present interpret, analyze and explain
results. critically synthesize literature, and formulate practical and
theoretical solutions to environment and resource issues as they
relate to sustainable development. describe the processes, functions, flows and players in a
logistics system, the supply chain objectives and performance
indicators. describe and analyse the environmental issues related to
transportation and logistics apply the SCOR model for processes, functions, and flow
descriptions in a logistics system. describe SCM (supply chain management) issues that are
important such as collaboration, use of information technology and
information systems","
The course is linked to recent research on sustainable development
theory and practice and on implementation of novel technologies in
the fish supply chain and presents advanced methods used for real
time monitoring and indicators of quality, safety and traceability.

The topics are: a) sustainability analysis of value chain; b)
Logistics and mapping of activities using the SCOR model; c)
traceability and monitoring of indicators for quality and safety of
products; c) Application of ICT (Information and Communication
Technology) and RFID (Radio frequency identification) technology
for real time monitoring to enhance transparency of the supply
chain; d) Tools for assessment of environmental impacts of
processing and logistics will be examined like Life Cycle Analysis
(LCA) and various indicators like carbon footprint and food miles
for the aquatic food supply chain will be discussed; e) Tools for
assessment of economic and social aspects of processing and
logistics will be examined like cost benefit analysis and decision
analysis; f) tools for assessing simultaneously environmental,
economic and social aspects such as multi-criteria assessment. 
",None,"Guðrún Ólafsdóttir,Charlotte Jacobsen,Gunnar Stefánsson,Brynhildur Davíðsdóttir,Tómas Hafliðason"
