COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
25102 , Oceanography,English , 5 ECTS , 2016/2017 ,June,BSc,National Institute of Aquatic Resources,"
The course will provide students with a basic knowledge of the
physical/chemical and biological interactions and processes in the
ocean. From such knowledge and from environmental data and
population dynamic parameters (phytoplankton, zooplankton and
fish), the students will achieve an understanding of the structure
and functioning of aquatic ecosystems, and how the utilization of
living marine resources is managed. By means of simple modeling
exercises the student will get a basic understanding on how
biological and environmental data are utilized in management
contexts. 
","Measure, describe and interpret vertical profiles of biological
and physical parameters in a water column. Relate observed physical observations to underlying physical
processes. Conduct chemical analyses of salinity and chlorophyll in water
samples. Compute physical, chemical and biological properties of sea
water from electronic measurements (CTD, Electronic Paricle
Counter). Measure, describe and model the size distribution of organisms
in the ocean. Use simple population dynamics models. Describe and understand basic traits and properties af marine
ecosystems. Achieve insight in simple principles and quantitative tools
that can be used in marine resource management. Describe how abiotic factors affect marine organisms","
The course will introduce with a description of how and why life in
the ocean differs from life on land. We will provide a fundamental
description of physical and chemical processes in the ocean, and
understanding of how these processes impact marine life. The
function of marine ecosystem and the dynamics of marine populations
will be discussed in the context of fish stock management. Finally,
modern technology to study ocean physics and biology will be
demonstrated. 
",None,"
Thomas Kiørboe,
Henrik Gislason,
Andre Visser,
Jane Behrens"
25104 , An Introduction to Ocean Science and Technology,English , 5 ECTS , 2016/2017 ,F4A (Tues 13-17),BSc,National Institute of Aquatic Resources,"
The course will provide students with a basic knowledge of the
world’s oceans and applied technologies in the marine environment.
The general object of the course is to encourage a knowledge-based
appreciation of “green” solutions to the challenges of marine and
maritime activities. 
","Give an overview of the modern, integrated science of
oceanography and how it is practiced. Identify reasons why sustainable practices regarding ocean
resources (e.g. fisheries, hydrocarbons) are important and affect
present and future life and the global economy. Demonstrate how the oceans relate to major Earth processes,
such as atmospheric and oceanic circulation, climate and weather,
plate tectonics, and sustainability of human and marine
populations. Integrate scientific and technological concepts to real world
challenges in the marine environment. Conduct group work in preparing a project on a selected aspect
of applied marine technologies. Communicate aspects of ocean science and technology to a
broader public. - -","
This course provides an introduction to the world’s oceans, their
impact on climate, the life they support and the challenges posed
by human activities. The course will focus on both the scientific
aspects of oceanography as well as the technological aspects of
exploring, monitoring and sustainably making use of marine
resources. Material covered includes ocean basins and their
marginal seas, seawater chemistry, general circulation patterns and
coupling to the atmosphere, ocean productivity and marine food
webs, and ocean-climate interactions. Each topic covered will also
present relevant technological applications such as underwater
sensors, remote vehicles, satellite observations, offshore
structures, geo-engineering, potential energy harvesting, and
mariculture. 
",None,"
Andre Visser,
Colin Stedmon,
Marja Koski"
25105 , Ecology,English , 5 ECTS , 2016/2017 ,F3A (Tues 8-12),BSc,National Institute of Aquatic Resources,"
The goal of this course is to familiarize students with the
fundamental principles of ecology, ranging from the functioning of
organisms to the structure and functioning of both terrestrial and
aquatic ecosystems. The students will realize the vital, mutual
interdependences between human societies and natural ecosystems
which define a main scope of environmental engineering. 
","Describe the characteristics and functioning of of key organism
groups and explain how they are adapted to diverse and variable
environments (aquatic, terrestrial). Explain the main processes governing the variation in
abundances and distribution of populations of animals, plants and
other organisms. Explain the concepts of populations, communities, food webs,
and ecosystems. Construct and analyze simple population dynamics models and
apply these to real world examples. Describe the flow and cycling of matter and energy in
ecosystems including their field observation. Describe major terrestrial and aquatic ecosystems across the
globe. Describe major services provided by (natural) ecosystems,
including recreation, transport, fishing, agriculture and
aquaculture, and understand how they are managed. Describe and evaluate human impacts and threats to natural
ecosystems. Apply ecological insights to engineering cases.","
The course will give an introduction to the fundamentals of ecology
and its terminology, as well as provide a framework for evaluating
the effects of human impact on natural systems. It is divided into
three parts: Part one introduces the general concepts starting with
an introduction to the fundamental life forms and how individual
organisms function, followed by descriptions of (the dynamics of)
populations, food webs and ecosystems, including how matter and
energy flow and cycle in ecosystems. Part two and three focuses on,
respectively, terrestrial and aquatic ecosystems, and will describe
the diversity of these systems, what services they provide (e.g.,
basis for agriculture, aquaculture and harvesting of natural
resources), their role in climate regulation, and how human
activities impact and, potentially, threaten these systems and vice
versa. Parts 2 and 3 include hands-on (lab; field) demonstrations
in both terrestrial and aquatic ecosystems. 
",None,"
Thomas Kiørboe,
Christian Skov"
25302 , Physical Oceanography,English , 5 ECTS , 2016/2017 ,E5B (Wed 13-17),MSc,National Institute of Aquatic Resources,"
To give the students an introduction to the physics of marine
environments, knowledge that can be used both as a platform for
more advanced studies of the topic, or as a contribution to their
development in marine ecology, fisheries and/or aquaculture. 
","Identify the major components affecting seawater density,
calculate it using the equation of state, and calculate its dynamic
influence on fluid flow. Apply a working knowledge of the instruments routinely used to
measure the properties of sea water. Identify the major factors affecting shelf sea dynamics –
inflow, winds, tides – and calculate the position of mixing
fronts. Use TS diagrams to trace the mixing of water masses and their
associated constituents. Identify the physical processes contributing to the spring
bloom. Construct and interpret box models of through-flow systems such
as estuaries to examine the fate of nutrients and
contaminants. Calculate the magnitude of geostrophic currents, Ekman pumping,
and upwelling, and explain the influence of these on marine
productivity. Explain the major features of global circulation,
atmosphere-ocean coupling, thermohaline circulation and their
influence on climate.","
Physical properties of seawater.

Oceanic heat budget.

Dynamics of density & wind driven flows, tides, and waves.

Seasonal cycles of stratification and mixing; the spring bloom and
mixing fronts.

Estuaries and semi-enclosed basins.

Planetary rotation, geostrophy and upwelling systems.

Regional Oceanography

Global circulation and climate. 
",None,"
Andre Visser"
25303 , Mathematical Biology,English , 5 ECTS , 2016/2017 ,E1B (Thurs 13-17),MSc,National Institute of Aquatic Resources,"
The course is an introduction to mathematical modelling of
biological systems. It will enable the student to evaluate, develop
and apply simple dynamical population models. 
","Assess the size and variability of fertility, mortality, and
migration in real populations, and their importance in models. Assess characteristic levels and time scales in population
dynamic models. Argue for choice of parameter values in a model applied in a
specific biological context. Determine the stability of steady states, and identify
bifurcations. Determine which model structure is appropriate to answer a
given question related to e.g. resource management or risk
assessment. Utilize population models to answer such questions. Present and discuss a mathematical model for an audience of
peers. Program numerical solutions of ODE's occuring in
mathematical biology. Develop and discuss differential equation models occurring in
mathematical biology.","
The course is an introduction to mathematical modeling of
population dynamics of living organisms, from bacteria to whales.
Focus is on conceptual models based on differential equations that
illustrates basic concepts in population modelling. An important
aspect of the course is to develop an understanding of the
biological assumptions underlying the models and on the ecological
consequences of their results, and develop the ability to connect
an abstract mathematical model with a concrete biological reality.
The main topics are: single-species population models (logistic
growth). Multi-species models (competition and predator-prey
relations). Functional responses. Reaction kinetics and spatial
population dynamics. Exploitation of living systems. Seasonal
succession Further topics depending on interests of students, for
example: Pattern formation, life history strategies, evolutionary
games and evolutionary dynamics. Some emphasis will be put on the
development and evaluation of the presentation skills of the
students. At the end of the course the students are developing a
longer project which will be evaluated by a poster session. 
","25304,01005,01035","
Ken Haste Andersen,
Uffe Høgsbro Thygesen,
Asbjørn Christensen"
25305 , Marine Aquaculture,English , 5 ECTS , 2016/2017 ,F5B (Wed 13-17),MSc,National Institute of Aquatic Resources,"
To provide students with detailed knowledge of marine aquaculture
including species and volumes cultured worldwide. The course will
enable students to describe site selection criteria and become
familiar with the individual components of land and sea based
marine aquaculture systems for production of algae, shellfish and
fish. The student will learn to characterize physical components of
waves, currents and wind in open and sheltered water systems and to
calculate the forces affecting sea based systems. The student will
learn to dimension major elements of an aquaculture production
system and be able to scale the elements to outline a full
production system. The student will become familiar with basic
management systems to control and predict production output.
Finally, the student will learn about the potential environmental
impacts from farming operations. 
","Outline the status of world marine aquaculture with respect to
region, species and production quantity. Characterize central aspects of site selection of land based as
well as sea based aquaculture systems. Explain the major components of offshore production systems for
fish, shellfish and algae. Describe production methodologies used in marine hatcheries and
land based production systems for fish. Characterize the forces of waves, currents and wind in
sheltered and open water systems and estimate forces on structures
in the water including mooring systems. Outline a production management plan, estimating production
flow and basic in and outputs. Describe how potential environmental impacts can be predicted
from the different farm systems and how to possibly ameliorate
them. Predict what environmental threats are relevant to the
different farm systems including mammals, fish and hazard algal
blooms","
Presentation of global marine aquaculture production, including
volume and species in a historic perspective. Criterias behind site
selection of land and sea based production systems are explained.
Hatcheries for fish and shellfish are described with focus on
technology used and operational parameters. Flow through and
recirculation systems for land based marine production systems are
analysed including systems for production of micro and macro algae.
The potential of sea based systems is outlined and sea based
systems for production of macro algae, shellfish and fish are
explained. The physical forces impacting sea based system will be
characterized and the methods for dimensioning the systems and
moorings accordingly will be taught. Potential environmental
impacts are assessed and described quantitatively. 
","25321,25316","
Ivar Lund"
25307 , Fisheries Ecology and Asessment,English , 10 ECTS , 2016/2017 ,F5A (Wed 8-12) and F5B (Wed 13-17),MSc,National Institute of Aquatic Resources,"
To provide the participants with an understanding of the
quantitative models and biological background of fisheries advice;
including fish population dynamics, the concept of sustainable
fishing, and the effects of fishing on the marine environment. 
","Describe the most important fisheries and fish stocks in Danish
waters. Explain the collection of biological data from the fishery, the
use of fish otoliths to determine the age of fish, and the
uncertaintity associated with this type of data. Estimate the parameters of the von Bertalanffy growth equation
and discuss the underlying assumptions. Estimate the size of a fish population and perform short and
long term predictions of the effect of changing fishing effort and
gear selection by means of agebased single species models. Discuss the biological basis of single species models and
explain objectives and reference points in relation to sustainable
fishing. Explain the basis for fish production in marine ecosystems,
describe the differences between different multispecies and
ecosystem models, and describe the effect of fishing on marine
ecosystems. Explain the governance of recreational and part-time fishing in
freshwater and along the coast, including stock enhancement plans
and regulations aimed at stock protection. Explain the governance of marine fisheries and the advantages
and disadvantages of different management tools such as mesh size
regulations and minimum landing sizes, individually transferable
quotas, closed areas and ecocertification. Read and critically evaluate fisheries biological
literature.","
The fishery annually removes between 30 and 40% of the biomass of
commercially exploited fish from the North Sea and Denmark is one
of the most important EU fishing nations. The course will explain
how fisheries scientists assess the size of fish stocks and how
fisheries advice is generated. The lectures and exercises will
consider fishing globally; the most important fisheries, gears and
fish stocks in the North Sea and the Baltic; ageing of fish; models
of growth, mortality and recruitment; stock assessment and catch
predictions; multispecies models, size based models and marine food
chains; the impact of fishing on marine ecosystems; part-time and
recreational fishing in freshwater and along the coast; and as well
as fisheries advice and management. In addition the course will
require the students to perform exercises with simple biological
models, to write a report on eco-certification of selected
fisheries and fish products and to write a report on a fisheries
relevant subject of their own choice. 
",None,"
Henrik Gislason"
25309 , Design of Survey and Monitoring Systems,English , 5 ECTS , 2016/2017 ,F1B (Thurs 13-17),MSc,National Institute of Aquatic Resources,"
To enable the student to design survey or monitoring systems for
the experimental investigation of marine environments, that fulfill
customer requirements to cost and quality of results. To introduce
the student to the use of systems engineering, statistical design
of experiments, optics, acoustics, electronics, fishing gear and
animal behaviour in order to support the student in selecting more
specialized courses within the fields. The course is an
introduction to CDIO principles with emphasis on CD. 
","Complete a user requirement specification process, including
definition of users, operational environment as well as general
constraints and capabilities. Complete a systems requirement specification process, including
definition of functional and non functional requirements. Complete a top down system architecture design process based on
the principles of statistical experiment design, compare
alternative systems and make a selection of a preferred solution
relative to the requirement specifications. Complete an in depth analysis of the characteristics of a
survey or monitoring system as the basis for detailed design. This
includes prediction of systems performance under different
operational conditions and lifecycle cost. Explain basic terms relevant for the design of scientific
measuring systems such as hypothesis, causality, falsification,
calibration, bias, uncertainty, error propagation and statistical
significance. Explain systems relevant characteristics of platforms such as
buoys, bottom stations, ships, towed bodies, ROVs, AUVs,
aeroplanes, helicopters, satellites and marine animals. Explain systems relevant characteristics of sensors such as
chemical, optical and, acoustic sensors, electronic fish tags, and
nets. Explain the influence of movement, light, sound and smell on
the behavior of aquatic organisms. Explain systems relevant characteristics of communication and
localization systems. Explain systems relevant characteristics of methods for post
processing of biological samples and sensor data. Participate as member of a group in writing a technical report,
documenting the design of a survey or monitoring system. Communicate the design of a survey or monitoring
system.","
Future management of aquatic resources will rely on an integrated
approach to management of the complete ecosystem. To facilitate
this management, timely and precise information about the state of
the ecosystem will be required. The objective of this course is to
provide the student with an overview of survey and monitoring
technologies, that will enable the student to perform top down
design of cost effective, complex systems for collection this
information. The course introduces the student to the top down
design of complex survey and monitoring systems, based on the
principles of systems engineering and statistical experiment
design. The characteristics of system components such as platforms
and sensors as well as the influence of measuring systems on the
behavior of marine organisms is described. The student will work in
a group preparing a report documenting the design of survey or
monitoring system. 
",None,"
Bjarne Stage"
25310 , Biological Oceanography,English , 5 ECTS , 2016/2017 ,F2B (Thurs 8-12),MSc,National Institute of Aquatic Resources,"
Biological oceanography deals with the life in the oceans – the
interactions between organisms and their physical and chemical
environment. In our course we will focus on the structure and
function of marine food webs, and strive to understand how
biological processes control the species interactions and their
responses to environmental forcing, and how global patterns emerge
from these individual interactions. The course offers a mechanistic
understanding of the most important biological processes in aquatic
systems and their dependency on the environment. We will illustrate
different scales of the marine environment, starting at the
individual level, and advancing to population, community and global
scales of the marine ecosystem. The course will enable the students
to appreciate cause-consequence relationships and assess the
effects of environmental changes to marine ecosystems and the
global ocean. 
","Describe and quantify interactions between functional groups
and trophic levels in aquatic environments based on a mechanistic
understanding of encounter rates. Describe and quantify how individual interactions shape the
population and ecosystem level processes. Describe how environmental forcing influences marine systems at
both ecosystem and global scales. Understand the fundamental challenges of global change to the
global ocean biology. Construct simple food-web and population models within marine
environments. Analyze and interpret model observations within the context of
the marine food webs. Apply the understanding of ocean biology to assess the
environmental impacts of diverse off-shore or coastal construction
projects. Present the results of an environmental impact assessment for a
hypothetical project dealing with the marine environment.","
The course consists of four elements:

• Ecology of marine organisms and trophic interactions from
bacteria and phytoplankton to marine mammals

• Examples of different approaches to model biological interactions

• Global- scale trends and processes

• Real-life application of biological oceanography

The course is divided between three levels of the marine systems:
individual, population / ecosystem and global scales. We will start
with the individual level, illustrating the effect of encounter
rate on food-web interactions. The population / ecosystem level
focuses on population dynamics of marine organisms, basic
properties of marine environment and environmental forcing.
Finally, at the global scale we will concentrate on global trends
in ocean productivity, biogeochemical cycling and the environmental
challenges facing the changing oceans. The course will consist of
lectures, exercises, model practical and group work. 
",KU028,"
Marja Koski,
Torkel Gissel Nielsen"
25311 , Fisheries Oceanography,English , 5 ECTS , 2016/2017 ,E2B (Thurs 8-12),MSc,National Institute of Aquatic Resources,"
The course will provide an in-depth understanding of how
oceanographic and marine ecosystem processes affect and interact
with ecology of fish (e.g., productivity, survival, geographical
distributions) and fisheries. The course will emphasize
interactions between natural and human-induced climate
variability/change, exploitation, and eutrophication, and will
build on principles established in earlier courses in the
curriculum.

Course core elements:

1. Dynamics of populations and ecosystems at multiple time-space
scales (cm – 1000s km and s – millennia)

2. Multiple drivers (or perturbations) of change – fishing, climate
change and variability, eutrophication, habtitat alteration

3. Responses of fish populations to perturbations – productivity,
distributions, growth, survival, yields

4. Processes affecting survival and growth of early life history
stages; larval ecology, feeding success, survival probability

5. Scientific method to problem solving and hypothesis testing.

6. Interpretation of observational fisheries oceanographic data 
","Predict using process knowledge and first principles how ocean
conditions and human activities (e. g., fishing, increasing CO2
emissions, eutrophication) affect ecology of fish eggs and larvae.
(core elements 1-4) Calculate individual- and population-level larval fish
ingestion rates and food requirements using behavioural,
bioenergetics and environmental data. (core elements 4, 5) Back-calculate birth-date and -place from larval otoliths and
explain why this information is useful in recruitment studies (e.
g., nonrandom mortality). (core elements 4-6) Use ecological and oceanographic process knowledge to make
quantitative statements and inference about how populations might
react to perturbations from equilibrium (e. g.,
climate-oceanographic variations, fishing, eutrophication, invasive
species). (core elements 1-5) Hypothesize and make general predictions about the relative
importance of climate-oceanographic conditions and fishing on
recruitment variability in a fish population, given biogeographic
and spawner biomass knowledge about the population. (core elements
1, 4, 5, 6) Summarize at least three common statistical problems associated
with analysing time series data in fisheries oceanography and
marine ecology, and propose ways to minimize their impact on
results of analyses. (core elements 5, 6) Demonstrate using observations and simulated data the
advantages and pitfalls associated with different approaches for
modelling temporal variations in ecological response variables.
(core elements 3, 5, 6) Perform key scientific tasks such as plan research, develop
hypotheses, critically evaluate results of fisheries oceanographic
data analyses, other student works (i. e., student peer-review of
other students’ works) and peer-reviewed literature, and present
scientific findings orally and in writing. (core elements 5,
6)","
The course will explain and interpret how oceanographic processes
affect production and distribution of fish populations. Students
will learn how various physical processes and mechanisms (e.g.,
storms, extreme temperature conditions) affect fish eggs, larvae,
juveniles and adults, and how those processes can make populations
more or less vulnerable to human activities such as fishing and
eutrophication. The course lectures will initially cover key
concepts and paradigms in fisheries oceanography and then be
followed by lectures on larval feeding ecology and predation
processes (e.g., fish, jellyfish) before progressing to the
oceanographic impacts on higher levels of biological organisation
(i.e., biodiversity, biogeography, foodweb interactions involving
fish). The course will span concepts from individual to population
and community scales, and from small to large temporal – spatial
scales. Students will learn how knowledge of specific processes can
be applied to advise on how to conserve and manage fish populations
and marine ecosystems. The course will include some modelling and
statistical exercises, and case study analyses of oceanographic and
fishing impacts on 2-3 selected fish populations and communities. 
","25307,25302","
Brian MacKenzie"
