COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
30010 , Programming Project,Danish , 5 ECTS , 2016/2017 ,June,BSc,National Space Institute,"
To achieve practical skills within imperative programming and
microprocessor system. 
","identify and list the basic elements of the architecture of a
microcontroller describe and explain basic mathematical operations in fixed
point format apply and demonstrate the use of registers in a
microprocessor analyse a medium-size programming problem apply C language and structured programming in C determine requirement specifications for an application
targeting a microprocessor design, implement and operate an application in real time organize, plan and document the workflow of a software
project write a technical report including references and
citations.","
An introduction gives an overview of computer architecture, bus,
program and data memory, parallel and serial communication.
Afterwards the student is introduced to development tools for high
level programming language coding (at the moment C language) of a
microprocessor system. In the rest of the course a project is given
to the students. 
",02102,"
José M.G. Merayo"
30020 , Electronic Measurements and Instrumentation,Danish , 5 ECTS , 2016/2017 ,F4A (Tues 13-17),BSc,National Space Institute,"
To give a basic foundation in essential methods used in electronic
measurements of physical quantities. Laboratory exercises will give
the student experience with a number of principles used to convert
a physical parameter into an electrical signal, and the first
analog processing of the often noisy signal. 
","build and debug small electronic circuits perform laboratory measurements with digital oscilloscope. analyse sensors for sensitivity and linearity explain the principle of instrument and sensor calibration select sensors for temperature measurements and apply these in
small measurement systems apply strain gauges for deformation measurements apply Wheatstone bridges in smaller measurement systems apply the piezoelectric effect in small measurement
systems apply circuit blocks in small measurement systems explain the principles for synchronous detection explain the working principles of radiation detectors","
The course treats instrumentation systems and selected sensors such
as thermistors, strain gauges and sensors based on inductive,
capacitive, piezoelectrical and photoelectrical effects. Electronic
principles used to convert sensor signals to more convenient analog
signals are also treated.

The laboratory exercises give the student practical experience with
the application of different sensors and electronic components. 
",,"
Peter Brauer"
30021 , Digital Instrumentation,Danish , 5 ECTS , 2016/2017 ,E4A (Tues 13-17),MSc,National Space Institute,"
To give the students an understanding of the use of microprocessors
and peripherals in instruments. 
","develop microprocessor firmware in C apply i2c-bus based periferial components apply spi-bus based periferial components apply the build-in functions of the microprocessor design a microprocessor based system expand a microprocessor system with externel memory use analog-to-digital converters in a microprocessor based
measurement system use the microprocessor to calibrate and linearise digitised
measurements use advanced components for digitalisation of sensor
signals.","
The course is based on a 8-bits microprocessor from Microchip and a
C compiler for development of firmware.

During the exercises a number of microprocessor based systems with
serial interface to components like AD converters, digital
thermometers, EEPROMs and LCD displays are implemented.

For most of the exercises a report must be elaborated.

The last part of the course is used for a larger project. 
",30010,"
José M.G. Merayo"
30032 , Electrotechnics,Danish , 10 ECTS , 2016/2017 ,"E2 (Mon 13-17, Thurs 8-12) and F2 (Mon 13-17, Thurs 8-12)",BEng,National Space Institute,"
To enable the student to combine analog and digital techniques in
the design of a small electronic circuit by:

• applying systematic methods for analysis of linear electronic
circuits

• understanding functions of diodes and transistors.

• applying and constructing combinatorial circuits, counters and
other simple synchronous sequential networks.

• implementing a design, using discrete logic circuits. 
","analyze circuits containing resistors and sources using
systematical methods determine Thevenin and Norton equivalent circuits and perform
source transformations calculate the charge and discharge behavior of capacitors and
inductors and describe the concepts of transient and steady state
responses calculate currents and voltages in circuits containing ideal
operational amplifiers apply diodes and bipolar transistors in simple circuits apply number systems binary arithmetic and codes apply Boolean algebra and Karnaugh mapping in construction of
simple logic circuits analyze and construct synchronous state machines apply datasheets for discrete digital components and calculate
the currents and voltages in digital circuits apply measurement methods and standard laboratory equipment to
perform measurements on simple analog and digital
circuits.","
• DC: Characterisation of circuits with linear components

• Mesh-current and node-voltage analysis

• Thevenin and Norton equivalents

• Controlled sources

• Ideal operational amplifier

• Fundamental measurement techniques

• The diode, the zener diode

• The bipolar transistor, DC characteristics, large-signal models

• Boolean algebra, truth tables, Karnaugh mapping, number systems,
binary arithmetics, codes

• Multiplexer, decoder, encoder, comparator, adder, flip-flops,
synchronous state machines, counter

• Design and implementation of small systems, containing a
combination of analog and digital components

• Documentation and report writing. 
",None,"
Sten Schmidl Søbjærg"
30081 , Digital Technique,Danish , 5 ECTS , 2016/2017 ,F2A (Mon 13-17) and E2A (Mon 13-17),BEng,National Space Institute,"
To enable the student to combine hardware programming and digital
design in an integrated hardware/software solution. 
","apply a hardware description language (VHDL) to program digital
chips apply standard registers and combinatorial logic to construct
simple synchronous networks develop synchronous state machines and construct simple coupled
digital systems demonstrate the function of a digital system by simulation document design and functionallity of a smaller digital
system describe the principle of an FPGA-chip apply some of the building blocks (multiplier, Block RAM..) of
the FPGA chip describe principles in digital design of larger digital systems
that involve more clock-domains","
Digital design. VHDL programming, digital interface. 
","30032,31033","
Peter Brauer"
30082 , Project work in Digital design,Danish , 5 ECTS , 2016/2017 ,January  or  June,BEng,National Space Institute,"
To enable the students to combine hardware programming and digital
design in an integrated hardware/software solution. 
","organize teamwork with regards to common goal, time schedule
and work sharing decode an open assignment and set delimited requirements to a
problem to be solved define interfaces between digital subsystems design and implement a solution for a smaller system from the
perspective of functional requirements use loops and interrupts in a microcontroller system to realize
a simple realtime system use finite state machines and algorithm blocks in a synchronous
network to realize a simple digital system apply simple communication protocols between digital units and
describe the communication layers used. explain and argue for the solution of a digital design in
writing and orally.","
• Digital design. VHDL programming, digital interface.

• Embedded system design. Microcontroller hardware and software. 
",30081,"
Peter Brauer,
Ole Schultz"
30090 ," Digital Systems, Design of",Danish , 5 ECTS , 2016/2017 ,F2B (Thurs 8-12),BEng,National Space Institute,"
The aim of the course is to enable the student to be able to:

• Analyze problems as regards digital implementations

• Choose the correct tools to describe the design task to ensure
that the customer as well as the designer know what needs to be
implemented (product specification)

• Know the different technologies from Microprocessors, DSP to CPLD
and FPGA designs. 
","apply different representations of binary numbers determine and demonstrate use of basic binary
microoperations construct basic elements of the microprocessor architecture
(state machines, registers, ALU, ...) analyze and explain signal flow as well as controlling signals
in a large-size digital problem such as a microprocessor
system describe and justify the microprocessor, its datapath and
control unit with various diagrams describe the structure of an instruction, types of instructions
and the use of registers for addressing and data manipulation apply VHDL and structured programming in VHDL utilize synthesis/implementation and simulation tools for
designing digital systems implement in hardware and operate a simple soft microprocessor
core targeting an FPGA design and realize a simple microcode / assembler program for a
microprocessor organize, plan and document the workflow of a digital
project write a technical report including references and
citations.","
Tools for design description, structured descriptional tools:

• (VHDL)

• Simulation tools and philosophies

• Principles of real time programming

• Description of logic families

• Clock strategies

• Test philosophies and integration of testability in circuit
design

• Planning of a larger designs including considerations concerning
pilot studies in programmable logics and appropriate design flow. 
",30080,"
José M.G. Merayo"
30100 , Engineering Practices ,Danish , 10 ECTS , 2016/2017 ,E1B (Thurs 13-17) and January,BSc,National Space Institute,"
The goal of this course is to give an introduction to studying at
DTU and to give an introduction to the areas of Earth and Space
Physics and engineering, including presentations of typical methods
and tasks within this area. This may include laboratory work, to
develop good study and work methods for both theoretical and
experimental tasks and to practice written documentation and
produce a poster. 
","make use of the DTU IT facilities make use of the DTU CampusNet facilities gain insight of a technical subject with multiple disciplines
and have some understanding of a multi disciplenary system convey ideas and/or technical designs through a technical
drawing 2D and 3D design and print a simple 3D component conduct simple calculations of parameters central to the
project organize, plan and implement project work in groups give a short and concise presentation of a projects state to a
review panel be conscious about personal study techniques in other
courses make a consistent plan for an entire bachelor curriculum, under
here independent to select courses from professional interest produce a poster describing the work performed. produce a brief technical report","
Project tasks within the areas of Geophysics and Space Technology.
The project will include elements from other courses on first
semester.

Studying techniques and study planning. Use of DTU's
facilities, including the databar system.

In the 13-week period, there will be a number of different projects
in the different suggested study lines. The 13-week period will be
concluded with a presentation of the project status (critical
design review, CDR). During the 3-week period, some or all of the
13-weeks projects will be finalized in a common project - an
airship launch. 13-weeks projects not suited for airship flight
will be finalized solo. The 3-week period is concluded with a
poster session. 
",None,"
René Fléron,
Allan Hornstrup"
30110 , Introductory project ,Danish , 10 ECTS , 2016/2017 ,Spring and June,BSc,National Space Institute,"
The goal of this course is to carry out an independent experimental
or theoretical project, where the result is not known in advance. 
","find and select relevant litterature seek supplementary information from researchers/PhD students in
the fiels - who can function as consultants during the project make a relevant limitation of the subject and with the help of
the supervisor provide arguments for the project, including
describing the new aspects covered by the project and how the
purpose may add to the research in the area describe goals and methods for the project in suitable extent
and complexity plan the project provide a realistic workplan and schedule and continuously
adjust the plan to the change in conditions perform thorough and systematic work within the experiment or
theory, e.g. by constructiing an experiement, or provide code for a
simulation, and collect the measured or generated data and treat
the data in the analysis relate the data to the goals of the project interpret, evaluate and summarize the results, and present
those in suitable format using tables and graphs write a well-structured and well-documented report in an understandable form present the methods used and results
gained at the oral presentation carry the project through with great independence in all
aspects.","
A series of possible project subjects will be provided, with
relations to the research activities at the participating
institutes. The students select among the proposed projects. 
",,"
Allan Hornstrup"
30120 , Astrophysics,Danish , 5 ECTS , 2016/2017 ,F1B (Thurs 13-17),BSc,National Space Institute,"
The aim is to give an introduction to modern astrophysics by going
through selected subjects from the star's physics and from
cosmology. Further, to provide an introductory knowledge of the
technological challenges in modern astrophysical observations. 
","demonstrate basic knowledge about sky coordinate systems explain the fundamental elements of the electromagnetic
radiation processes and the photons interaction with matter explain the origin of the composition of the Universe, the
stars, and the planets describe how the therories of gravtitation apply in
astrophysics explain the formation, structure, physics, and evolution of the
stars explain the fundamental properties of compact objects (neutron
stars and black holes) and the creation of those as the end stages
of stellar evolution explain the structure of the Milky Way and its
observations explain the structure of galaxies and galaxy clusters, and the
related observational challenges explain the cosmic microwave background and the overall theory
about the Start of the Universe in the ""Big Bang"" explain some of the technical challenges to
instrumentation describe different methods of observational methods, such as
telescopes, detectors, and spectrographs train group work so as to develop oral presentation skills and
formulate constructive feebback.","
The course will give a presentation of the heavens and the
coordinate systems, and how the efficient detection of
electromagnetic quanta is an essential in astrophysics.

The physics and evolution of stars will be treated, in particular
the end-stages of stellar evolution, the compact objects like
neutron stars and black holes.

Also galaxies, clusters of galaxies and active galaxies, as well as
their importance for the understanding of the structure of the
Universe will be explained. 
","01005,10033","
Jérôme Chenevez"
