COURSE NUMBER,COURSE NAME,LANGUAGE OF INSTRUCTION,CREDIT LOAD,YEAR,SCHEDULE,COURSE TYPE,DEPARTMENT,GENERAL COURSE OBJECTIVES,LEARNING OBJECTIVES,CONTENT,RECOMMENDED PREREQUISITES,COURSE RESPONSIBLE
,,,,,,,,,,,,
88383 , Academic Information Retrieval,Danish , 2.5 ECTS , 2016/2017 ,January  or  June,MSc,Other courses,"
- 
",same same same - - - - - -,"
- 
",None,"
Pernille Seier,
Melissa Just Nordholt"
,,,,,,,,,,,,
KU002 , Human Biology,Danish , 10 ECTS , 2016/2017 ,"E3 (Tues 8-12, Fri 13-17) and E4 (Tues 13-17, Fri 8-12)",BSc,Other courses,"
The overall aim is that the students in the end of the course can
explain the main characteristics of composition and function of the
healthy human. 
","Please see Course home page
 http:/​/​kurser.ku.dk/​course/​smtb16001u/​2016-2017 - - - - - - -","
Please see Course home page
http:/​/​kurser.ku.dk/​course/​smtb16001u/​2016-2017",None,"Charlotte Mehlin Sørensen,Kaj-Åge Henneberg,Christine Gulstad"
,,,,,,,,,,,,
KU003 , Human Diseases for Non,Danish , 10 ECTS , 2016/2017 ,"F3 (Tues 8-12, Fri 13-17) and F4 (Tues 13-17, Fri 8-12)",BSc,Other courses,"
The overall aim is that the students at the end of the course can
explain the main characteristics of the most significant diseases
in the Danish society. 
","Please see Course home page
 http:/​/​kurser.ku.dk/​course/​smtb15002u - - - - - - -","
Please see Course home page
http:/​/​kurser.ku.dk/​course/​smtb15002u",None,"
Kaj-Åge Henneberg,
Christine Gulstad"
,,,,,,,,,,,,
KU004 , Clinical methods in diagnosis and treatment,Danish , 5 ECTS , 2016/2017 ,F1A (Mon 8-12),BSc,Other courses,"
Will be defined in the course database at University of Copenhagen 
","Will be defined in the course database at University of
Copenhagen - - - - - - -","
Will be defined in the course database at University of Copenhagen 
","KU003,KU002","
Carsten E. Thomsen,
Marianne Aznar,Kaj-Åge Henneberg"
,,,,,,,,,,,,
KU005 , Modelling of physiological systems,Danish , 5 ECTS , 2016/2017 ,F4A (Tues 13-17),BSc,Other courses,"
The overall aim is that students, after having completed the
course, can analyze and describe dynamical physiological models and
the data on which such models build. 
","Please see Course home page:
 http:/​/​kurser.ku.dk/​course/​scia10008u - - - - - - -","
Please see Course home page
http:/​/​kurser.ku.dk/​course/​scia10008u","01005,02631,01035","
Olga Sosnovtseva,
Kaj-Åge Henneberg,
Christine Gulstad"
,,,,,,,,,,,,
KU006 , Introduction to clinical practise in Hospitals,Danish , 5 ECTS , 2016/2017 ,January and June,BSc,Other courses,"
To give the student an impression of how it is to work in a
hospital, with particular emphazis on bioengineering and clinical
practice in hospital departments with advanced medical equipment. 
","Please see Course home page
 http:/​/​kurser.ku.dk/​course/​scia10007u - - - - - - -","
Please see Course home page
http:/​/​kurser.ku.dk/​course/​scia10007u",,"
Liselotte Højgaard,
Vibeke Rønn,
Kaj-Åge Henneberg,
Christine Gulstad"
,,,,,,,,,,,,
